x	y
475 0.00654
476 -907.668
477 -1440.96
478 -1700.35
479 -1765.46
480 -1698.59
481 -1547.69
482 -1349.04
483 -1129.39
484 -907.888
485 -697.636
486 -507.025
487 -340.826
488 -201.097
489 -87.9198
490 0.005698
491 64.8902
492 109.484
493 136.796
494 149.877
495 151.668
496 144.899
497 132.012
498 115.133
499 96.0528
500 76.2314
501 56.8162
502 38.6662
503 22.3833
504 8.34602
505 -3.255
506 -12.3828
507 -19.1212
508 -23.6446
509 -26.1911
510 -27.0383
511 -26.4832
512 -24.8258
513 -22.3553
514 -19.3402
515 -16.0208
516 -12.6045
517 -9.26328
518 -6.13302
519 -3.31439
520 -0.875
521 1.14752
522 2.74184
523 3.91883
524 4.70725
525 5.14945
526 5.29729
527 5.20824
528 4.94194
529 4.55713
530 4.10915
531 3.64786
532 3.21615
533 2.84887
534 2.5723
535 2.404
536 2.35304
537 2.42059
538 2.60075
539 2.88161
540 3.24647
541 3.67512
542 4.14521
543 4.6336
544 5.11764
545 5.57637
546 5.99164
547 6.34899
548 6.63849
549 6.85529
550 7
551 7.07896
552 7.10423
553 7.09343
554 7.06945
555 7.05995
556 7.09679
557 7.21532
558 7.45357
559 7.85143
560 8.44971
561 9.28929
562 10.4102
563 11.8506
564 13.6464
565 15.83
566 18.4299
567 21.4701
568 24.9697
569 28.9424
570 33.3965
571 38.3343
572 43.7531
573 49.6441
574 55.9938
575 62.7834
576 69.99
577 77.5866
578 85.5427
579 93.8256
580 102.4
581 111.23
582 120.278
583 129.507
584 138.881
585 148.365
586 157.926
587 167.533
588 177.158
589 186.777
590 196.368
591 205.912
592 215.397
593 224.811
594 234.147
595 243.4
596 252.57
597 261.657
598 270.665
599 279.599
600 288.463
601 297.265
602 306.01
603 314.703
604 323.346
605 331.94
606 340.485
607 348.974
608 357.399
609 365.747
610 374
611 382.137
612 390.13
613 397.948
614 405.555
615 412.91
616 419.967
617 426.678
618 432.99
619 438.85
620 444.201
621 448.984
622 453.142
623 456.618
624 459.355
625 461.3
626 462.404
627 462.62
628 461.91
629 460.238
630 457.579
631 453.913
632 449.228
633 443.525
634 436.809
635 429.099
636 420.42
637 410.81
638 400.315
639 388.99
640 376.9
641 364.116
642 350.719
643 336.795
644 322.435
645 307.736
646 292.796
647 277.718
648 262.603
649 247.552
650 232.664
651 218.034
652 203.752
653 189.902
654 176.562
655 163.8
656 151.675
657 140.237
658 129.524
659 119.564
660 110.372
661 101.954
662 94.3018
663 87.3993
664 81.2184
665 75.722
666 70.8644
667 66.5927
668 62.8477
669 59.5658
670 56.68
671 54.122
672 51.8235
673 49.7178
674 47.742
675 45.8374
676 43.9523
677 42.042
678 40.0708
679 38.0125
680 35.8511
681 33.581
682 31.2075
683 28.746
684 26.2221
685 23.67
686 21.132
687 18.6567
688 16.2973
689 14.1094
690 12.1495
691 10.4719
692 9.12675
693 8.15762
694 7.59896
695 7.47397
696 7.79257
697 8.54964
698 9.72368
699 11.2759
700 13.15
701 15.2721
702 17.5521
703 19.8847
704 22.1526
705 24.2286
706 25.9802
707 27.274
708 27.9803
709 27.9797
710 27.1683
711 25.4649
712 22.8166
713 19.2057
714 14.6551
715 9.234
716 3.06123
717 -3.69124
718 -10.7974
719 -17.978
720 -24.9035
721 -31.2003
722 -36.4586
723 -40.2447
724 -42.1157
725 -41.638
726 -38.4083
727 -32.0787
728 -22.3834
729 -9.16829
730 7.578
731 27.6933
732 50.8111
733 76.3325
734 103.402
735 130.889
736 157.379
737 181.174
738 200.308
739 212.578
740 215.598
741 206.874
742 183.904
743 144.311
744 86.0042
745 7.378
746 -92.4598
747 -213.422
748 -354.147
749 -511.676
750 -681.11
751 -855.263
752 -1024.32
753 -1175.53
754 -1292.94
755 -1357.28
756 -1345.89
757 -1232.95
758 -989.951
759 -586.464
760 8.515
761 824.703
762 1887.88
763 3216.32
764 4816.02
765 6674.61
766 8753.4
767 10977.5
768 13223.5
769 15303.8
770 16947.9
771 17779.4
772 17288.1
773 14795.9
774 9417.12
775 9.684
