x	y
475 0.00654
476 0.0126365
477 0.0186738
478 0.0245928
479 0.0303342
480 0.0358388
481 0.0410476
482 0.0459012
483 0.0503406
484 0.0543065
485 0.0577398
486 0.0605812
487 0.0627717
488 0.0642519
489 0.0649627
490 0.064845
491 0.0638396
492 0.0618872
493 0.0589287
494 0.054905
495 0.0497567
496 0.0434248
497 0.0358501
498 0.0269733
499 0.0167354
500 0.005077
501 -0.00800885
502 -0.022321
503 -0.0376061
504 -0.053611
505 -0.0700823
506 -0.0867667
507 -0.103411
508 -0.119762
509 -0.135566
510 -0.15057
511 -0.164521
512 -0.177165
513 -0.18825
514 -0.197521
515 -0.204726
516 -0.209611
517 -0.211924
518 -0.21141
519 -0.207816
520 -0.20089
521 -0.190377
522 -0.176025
523 -0.157581
524 -0.13479
525 -0.1074
526 -0.0748896
527 -0.0356655
528 0.0121333
529 0.070368
530 0.1409
531 0.225589
532 0.326298
533 0.444888
534 0.583218
535 0.743151
536 0.926548
537 1.13527
538 1.37118
539 1.63613
540 1.93199
541 2.26062
542 2.62389
543 3.02364
544 3.46174
545 3.94006
546 4.46046
547 5.02479
548 5.63491
549 6.2927
550 7
551 7.76016
552 8.58239
553 9.4774
554 10.4559
555 11.5285
556 12.706
557 13.9991
558 15.4184
559 16.9747
560 18.6787
561 20.541
562 22.5723
563 24.7834
564 27.1849
565 29.7875
566 32.602
567 35.6391
568 38.9093
569 42.4235
570 46.1923
571 50.2264
572 54.5365
573 59.1334
574 64.0276
575 69.23
576 74.748
577 80.5767
578 86.7078
579 93.1333
580 99.8449
581 106.835
582 114.094
583 121.615
584 129.39
585 137.41
586 145.667
587 154.153
588 162.86
589 171.78
590 180.904
591 190.225
592 199.733
593 209.422
594 219.283
595 229.307
596 239.487
597 249.815
598 260.282
599 270.879
600 281.6
601 292.429
602 303.324
603 314.237
604 325.121
605 335.926
606 346.605
607 357.109
608 367.39
609 377.4
610 387.09
611 396.413
612 405.319
613 413.762
614 421.692
615 429.061
616 435.821
617 441.924
618 447.322
619 451.966
620 455.808
621 458.8
622 460.893
623 462.04
624 462.191
625 461.3
626 459.334
627 456.333
628 452.351
629 447.445
630 441.67
631 435.081
632 427.735
633 419.686
634 410.99
635 401.704
636 391.882
637 381.581
638 370.855
639 359.761
640 348.354
641 336.689
642 324.823
643 312.81
644 300.707
645 288.569
646 276.451
647 264.41
648 252.501
649 240.779
650 229.3
651 218.111
652 207.221
653 196.631
654 186.342
655 176.355
656 166.67
657 157.288
658 148.21
659 139.437
660 130.969
661 122.807
662 114.952
663 107.405
664 100.166
665 93.2361
666 86.616
667 80.3065
668 74.3083
669 68.6221
670 63.2487
671 58.1889
672 53.4434
673 49.0129
674 44.8982
675 41.1
676 37.6166
677 34.4367
678 31.5463
679 28.9315
680 26.5786
681 24.4736
682 22.6027
683 20.9521
684 19.5077
685 18.2559
686 17.1827
687 16.2743
688 15.5167
689 14.8962
690 14.3989
691 14.0109
692 13.7183
693 13.5073
694 13.364
695 13.2746
696 13.2252
697 13.2019
698 13.1908
699 13.1781
700 13.15
701 13.0952
702 13.0129
703 12.9052
704 12.774
705 12.6211
706 12.4485
707 12.2582
708 12.052
709 11.8319
710 11.5998
711 11.3577
712 11.1075
713 10.851
714 10.5903
715 10.3272
716 10.0638
717 9.80182
718 9.54331
719 9.29016
720 9.04431
721 8.80769
722 8.58222
723 8.36983
724 8.17244
725 7.992
726 7.82998
727 7.68609
728 7.55962
729 7.44983
730 7.356
731 7.27739
732 7.21329
733 7.16297
734 7.1257
735 7.10075
736 7.08739
737 7.08491
738 7.09257
739 7.10964
740 7.1354
741 7.16913
742 7.21009
743 7.25755
744 7.3108
745 7.36911
746 7.43174
747 7.49797
748 7.56707
749 7.63833
750 7.711
751 7.78448
752 7.85863
753 7.93342
754 8.00882
755 8.0848
756 8.16133
757 8.23839
758 8.31595
759 8.39398
760 8.47246
761 8.55135
762 8.63063
763 8.71028
764 8.79025
765 8.87053
766 8.95108
767 9.03189
768 9.11292
769 9.19414
770 9.27553
771 9.35706
772 9.4387
773 9.52042
774 9.6022
775 9.684
