x	y
475 0.00654
476 0.089883
477 0.159517
478 0.201731
479 0.202818
480 0.149066
481 0.0267674
482 -0.177788
483 -0.47831
484 -0.888507
485 -1.42209
486 -2.09277
487 -2.91425
488 -3.90024
489 -5.06446
490 0.005698
491 -0.177234
492 -0.360664
493 -0.510817
494 -0.593917
495 -0.576188
496 -0.423856
497 -0.103145
498 0.419721
499 1.17852
500 2.20702
501 3.539
502 5.20824
503 7.24851
504 9.69359
505 -3.255
506 -3.28657
507 -3.29442
508 -3.30501
509 -3.3448
510 -3.44024
511 -3.61778
512 -3.90387
513 -4.32497
514 -4.90753
515 -5.678
516 -6.66284
517 -7.8885
518 -9.38144
519 -11.1681
520 -0.875
521 -0.675168
522 -0.469845
523 -0.237571
524 0.0431128
525 0.393665
526 0.835546
527 1.39021
528 2.07913
529 2.92375
530 3.94554
531 5.16595
532 6.60644
533 8.28848
534 10.2335
535 2.404
536 2.78077
537 3.14029
538 3.42764
539 3.5879
540 3.56613
541 3.30742
542 2.75684
543 1.85947
544 0.560374
545 -1.19537
546 -3.46268
547 -6.29649
548 -9.75172
549 -13.8833
550 7
551 6.89085
552 6.91142
553 7.29107
554 8.25915
555 10.045
556 12.878
557 16.9876
558 22.603
559 29.9535
560 39.2687
561 50.7778
562 64.7102
563 81.2952
564 100.762
565 15.83
566 18.7622
567 22.0897
568 25.7341
569 29.6169
570 33.6598
571 37.7842
572 41.9118
573 45.9641
574 49.8627
575 53.5292
576 56.8851
577 59.8519
578 62.3513
579 64.3048
580 102.4
581 110.856
582 119.424
583 127.943
584 136.246
585 144.169
586 151.549
587 158.221
588 164.021
589 168.785
590 172.348
591 174.546
592 175.215
593 174.19
594 171.308
595 243.4
596 252.77
597 262.051
598 271.287
599 280.522
600 289.8
601 299.164
602 308.66
603 318.33
604 328.218
605 338.369
606 348.827
607 359.635
608 370.838
609 382.479
610 374
611 382.187
612 389.988
613 397.041
614 402.984
615 407.453
616 410.087
617 410.523
618 408.399
619 403.352
620 395.019
621 383.038
622 367.047
623 346.683
624 321.583
625 461.3
626 461.957
627 461.721
628 460.629
629 458.717
630 456.02
631 452.577
632 448.422
633 443.593
634 438.125
635 432.056
636 425.421
637 418.257
638 410.6
639 402.487
640 376.9
641 364.452
642 351.841
643 339.743
644 328.833
645 319.788
646 313.282
647 309.992
648 310.593
649 315.76
650 326.17
651 342.497
652 365.418
653 395.608
654 433.743
655 163.8
656 152.137
657 141.089
658 130.421
659 119.896
660 109.28
661 98.3363
662 86.8296
663 74.5242
664 61.1845
665 46.5749
666 30.4598
667 12.6036
668 -7.22938
669 -29.2748
670 56.68
671 53.0923
672 49.6933
673 46.4097
674 43.1685
675 39.8966
676 36.521
677 32.9686
678 29.1663
679 25.041
680 20.5196
681 15.5291
682 9.99636
683 3.84833
684 -2.98809
685 23.67
686 22.5539
687 21.4941
688 20.4679
689 19.4527
690 18.4257
691 17.3643
692 16.2458
693 15.0475
694 13.7469
695 12.3211
696 10.7475
697 9.00349
698 7.06635
699 4.91342
700 13.15
701 12.7676
702 12.4018
703 12.0469
704 11.6972
705 11.3471
706 10.9908
707 10.6228
708 10.2372
709 9.82854
710 9.391
711 8.91894
712 8.40668
713 7.84854
714 7.23885
715 9.234
716 9.07285
717 8.91883
718 8.77098
719 8.62837
720 8.49005
721 8.35506
722 8.22247
723 8.09133
724 7.96068
725 7.82959
726 7.69711
727 7.56229
728 7.42419
729 7.28185
730 7.578
731 7.51931
732 7.46722
733 7.42262
734 7.38638
735 7.35941
736 7.3426
737 7.33682
738 7.34297
739 7.36194
740 7.39462
741 7.4419
742 7.50466
743 7.5838
744 7.6802
745 7.378
746 7.4219
747 7.46984
748 7.51796
749 7.56236
750 7.59918
751 7.62454
752 7.63454
753 7.62532
754 7.593
755 7.5337
756 7.44353
757 7.31862
758 7.15509
759 6.94905
760 8.515
761 8.60101
762 8.68596
763 8.77056
764 8.85551
765 8.94152
766 9.0293
767 9.11956
768 9.213
769 9.31033
770 9.41226
771 9.5195
772 9.63275
773 9.75273
774 9.88013
775 9.684
