Voltage It I2 I7 I12
0 0 0 0 0
0.1 0.0824836 0.0274906 0.0377836 0.0172094
0.2 0.164421 0.0547912 0.0752744 0.034355
0.3 0.245816 0.0819037 0.112475 0.0514371
0.4 0.326676 0.10883 0.14939 0.068456
0.5 0.407004 0.135572 0.186021 0.0854118
0.6 0.486807 0.162131 0.222371 0.102305
0.7 0.566088 0.188509 0.258443 0.119136
0.8 0.644854 0.214709 0.294241 0.135904
0.9 0.723108 0.240731 0.329767 0.15261
1 0.800856 0.266577 0.365023 0.169255
1.1 0.878102 0.29225 0.400014 0.185839
1.2 0.954851 0.31775 0.434741 0.202361
1.3 1.03111 0.34308 0.469206 0.218822
1.4 1.10688 0.368241 0.503414 0.235222
1.5 1.18216 0.393234 0.537366 0.251562
1.6 1.25697 0.418062 0.571066 0.267842
1.7 1.3313 0.442726 0.604515 0.284062
1.8 1.40516 0.467227 0.637716 0.300222
1.9 1.47856 0.491566 0.670672 0.316323
2 1.5515 0.515747 0.703385 0.332364
2.1 1.62397 0.539769 0.735857 0.348347
2.2 1.696 0.563635 0.768092 0.364271
2.3 1.76757 0.587345 0.800091 0.380136
2.4 1.8387 0.610902 0.831857 0.395943
2.5 1.90939 0.634306 0.863392 0.411692
2.6 1.97964 0.65756 0.894698 0.427383
2.7 2.04946 0.680664 0.925778 0.443017
2.8 2.11885 0.70362 0.956634 0.458593
2.9 2.18781 0.726429 0.987268 0.474113
3 2.25635 0.749093 1.01768 0.489575
3.1 2.32447 0.771612 1.04788 0.504981
3.2 2.39218 0.793989 1.07786 0.520331
3.3 2.45948 0.816225 1.10763 0.535624
3.4 2.52637 0.83832 1.13718 0.550862
3.5 2.59285 0.860276 1.16653 0.566043
3.6 2.65893 0.882094 1.19567 0.58117
3.7 2.72462 0.903776 1.22461 0.596241
3.8 2.78992 0.925322 1.25334 0.611257
3.9 2.85482 0.946735 1.28187 0.626218
4 2.91934 0.968014 1.3102 0.641125
4.1 2.98347 0.989162 1.33833 0.655977
4.2 3.04722 1.01018 1.36627 0.670776
4.3 3.1106 1.03107 1.39401 0.68552
4.4 3.1736 1.05183 1.42157 0.700211
4.5 3.23623 1.07246 1.44893 0.714848
4.6 3.2985 1.09296 1.4761 0.729432
4.7 3.3604 1.11335 1.50309 0.743963
4.8 3.42193 1.1336 1.52989 0.758441
4.9 3.48311 1.15374 1.55651 0.772867
5 3.54394 1.17375 1.58295 0.78724
