Voltage It I2 I7 I12
0 0 0 0 0
0.1 0.0824593 0.0274969 0.0377842 0.0172093
0.2 0.164498 0.0547635 0.0752628 0.0343447
0.3 0.246373 0.0817254 0.112416 0.0513915
0.4 0.328322 0.108314 0.149222 0.0683346
0.5 0.410562 0.134468 0.185655 0.0851578
0.6 0.493287 0.160133 0.221683 0.101844
0.7 0.576667 0.185264 0.257271 0.118376
0.8 0.660846 0.209824 0.292382 0.134734
0.9 0.745945 0.233784 0.326976 0.1509
1 0.832062 0.257122 0.361011 0.166855
1.1 0.919272 0.279822 0.394448 0.18258
1.2 1.00763 0.301874 0.427249 0.198058
1.3 1.09718 0.323273 0.459377 0.213272
1.4 1.18794 0.344018 0.4908 0.228205
1.5 1.27991 0.36411 0.52149 0.242845
1.6 1.37309 0.383554 0.551424 0.257177
1.7 1.46745 0.402359 0.580581 0.271191
1.8 1.56298 0.420532 0.608947 0.284878
1.9 1.65962 0.438085 0.63651 0.298229
2 1.75733 0.45503 0.663265 0.311238
2.1 1.85606 0.47138 0.689209 0.323901
2.2 1.95574 0.487149 0.714344 0.336216
2.3 2.05631 0.502351 0.738673 0.34818
2.4 2.15769 0.517003 0.762203 0.359794
2.5 2.25982 0.531118 0.784946 0.371059
2.6 2.36261 0.544714 0.806914 0.381979
2.7 2.46599 0.557806 0.828121 0.392555
2.8 2.56987 0.570411 0.848583 0.402795
2.9 2.67419 0.582544 0.868318 0.412702
3 2.77886 0.594222 0.887346 0.422283
3.1 2.8838 0.605462 0.905685 0.431545
3.2 2.98894 0.616278 0.923356 0.440495
3.3 3.0942 0.626688 0.940381 0.449142
3.4 3.19951 0.636705 0.95678 0.457494
3.5 3.3048 0.646346 0.972575 0.465559
3.6 3.41001 0.655626 0.987787 0.473346
3.7 3.51506 0.664557 1.00244 0.480863
3.8 3.61991 0.673156 1.01655 0.48812
3.9 3.72449 0.681435 1.03014 0.495125
4 3.82874 0.689408 1.04323 0.501887
4.1 3.93262 0.697087 1.05584 0.508415
4.2 4.03608 0.704485 1.068 0.514717
4.3 4.13908 0.711614 1.07971 0.520802
4.4 4.24156 0.718485 1.091 0.526678
4.5 4.3435 0.725109 1.10188 0.532353
4.6 4.44487 0.731497 1.11237 0.537835
4.7 4.54561 0.737659 1.1225 0.543131
4.8 4.64572 0.743605 1.13226 0.548249
4.9 4.74516 0.749343 1.14169 0.553195
5 4.8439 0.754884 1.15079 0.557977
