Voltage T2 T7 T12
0 0 0 0
0.1 0.000759678 0.00143643 0.000297092
0.2 0.00302302 0.00571803 0.00118629
0.3 0.00674409 0.0127635 0.00266137
0.4 0.0118498 0.0224434 0.0047119
0.5 0.0182449 0.0345878 0.00732333
0.6 0.0258173 0.048996 0.010477
0.7 0.0344442 0.0654468 0.0141503
0.8 0.0439977 0.0837074 0.0183169
0.9 0.0543492 0.103542 0.0229472
1 0.0653736 0.124719 0.0280088
1.1 0.076952 0.147016 0.0334669
1.2 0.0889733 0.170223 0.0392849
1.3 0.101336 0.194145 0.0454254
1.4 0.113947 0.218604 0.0518501
1.5 0.126725 0.243438 0.058521
1.6 0.139596 0.268502 0.0654007
1.7 0.152496 0.293667 0.0724526
1.8 0.165368 0.318819 0.0796417
1.9 0.178165 0.34386 0.0869347
2 0.190843 0.368702 0.0943
2.1 0.203369 0.393272 0.101709
2.2 0.215711 0.417507 0.109133
2.3 0.227845 0.441354 0.11655
2.4 0.239751 0.464768 0.123935
2.5 0.251411 0.487714 0.131269
2.6 0.262814 0.510162 0.138535
2.7 0.273948 0.532091 0.145717
2.8 0.284808 0.553484 0.1528
2.9 0.295387 0.574329 0.159774
3 0.305683 0.594619 0.166629
3.1 0.315695 0.614351 0.173356
3.2 0.325424 0.633523 0.179949
3.3 0.334871 0.65214 0.186402
3.4 0.344039 0.670205 0.192713
3.5 0.352933 0.687727 0.198877
3.6 0.361556 0.704713 0.204893
3.7 0.369915 0.721175 0.21076
3.8 0.378014 0.737122 0.216479
3.9 0.385861 0.752568 0.222049
4 0.393462 0.767526 0.227471
4.1 0.400823 0.782008 0.232748
4.2 0.407952 0.796029 0.23788
4.3 0.414855 0.809602 0.242871
4.4 0.42154 0.822741 0.247724
4.5 0.428013 0.835461 0.25244
4.6 0.434282 0.847775 0.257024
4.7 0.440353 0.859698 0.261478
4.8 0.446233 0.871242 0.265805
4.9 0.45193 0.882422 0.27001
5 0.457449 0.89325 0.274095
