Voltage It I2 I7 I12
0 0 0 0 0
0.1 0.0824593 0.0274969 0.0377842 0.0172093
0.2 0.164498 0.0547635 0.0752628 0.0343447
0.3 0.246373 0.0817254 0.112416 0.0513915
0.4 0.328322 0.108314 0.149222 0.0683346
0.5 0.410562 0.134468 0.185655 0.0851578
0.6 0.493287 0.160133 0.221683 0.101844
0.7 0.576667 0.185264 0.257271 0.118376
0.8 0.660846 0.209824 0.292382 0.134734
0.9 0.745945 0.233784 0.326976 0.1509
1 0.832062 0.257122 0.361011 0.166855
1.1 0.919272 0.279822 0.394448 0.18258
1.2 1.00763 0.301874 0.427249 0.198058
1.3 1.09718 0.323273 0.459377 0.213272
1.4 1.18794 0.344018 0.4908 0.228205
1.5 1.27991 0.36411 0.52149 0.242845
1.6 1.37309 0.383554 0.551424 0.257177
1.7 1.46745 0.402359 0.580581 0.271191
1.8 1.56298 0.420532 0.608947 0.284878
1.9 1.65962 0.438085 0.63651 0.298229
2 1.75733 0.45503 0.663265 0.311238
2.1 1.85606 0.47138 0.689209 0.323901
2.2 1.95574 0.487149 0.714344 0.336216
2.3 2.05631 0.502351 0.738672 0.34818
2.4 2.15769 0.517003 0.762203 0.359794
2.5 2.25982 0.531118 0.784946 0.371059
2.6 2.36261 0.544714 0.806914 0.381979
2.7 2.46599 0.557806 0.828121 0.392555
2.8 2.56987 0.570411 0.848583 0.402795
2.9 2.67419 0.582544 0.868318 0.412702
3 2.77886 0.594222 0.887346 0.422283
3.1 2.8838 0.605462 0.905685 0.431545
3.2 2.98894 0.616279 0.923356 0.440495
