time V1 V2 I
0 0.9901 9.90001e-05 0.00990001
0.01 0.9803 0.000296001 0.0197
0.02 0.9706 0.000590002 0.0294001
0.03 0.961 0.000980006 0.0390003
0.04 0.951499 0.00146501 0.0485007
0.05 0.942099 0.00204402 0.0579012
0.06 0.932798 0.00271605 0.0672021
0.07 0.923597 0.00348008 0.0764032
0.08 0.914495 0.00433513 0.0855048
0.09 0.905493 0.0052802 0.0945069
0.1 0.89659 0.00631429 0.10341
0.11 0.887787 0.00743642 0.112213
0.12 0.879082 0.0086456 0.120918
0.13 0.870477 0.00994083 0.129523
0.14 0.861971 0.0113211 0.138029
0.15 0.853563 0.0127855 0.146437
0.16 0.845254 0.014333 0.154746
0.17 0.837043 0.0159625 0.162957
0.18 0.82893 0.0176732 0.17107
0.19 0.820916 0.0194641 0.179084
0.2 0.812999 0.0213341 0.187001
0.21 0.80518 0.0232823 0.19482
0.22 0.797459 0.0253077 0.202541
0.23 0.789834 0.0274094 0.210166
0.24 0.782307 0.0295863 0.217693
0.25 0.774877 0.0318375 0.225123
0.26 0.767543 0.0341621 0.232457
0.27 0.760305 0.036559 0.239695
0.28 0.753164 0.0390274 0.246836
0.29 0.746119 0.0415662 0.253881
0.3 0.739169 0.0441745 0.260831
0.31 0.732314 0.0468514 0.267686
0.32 0.725554 0.0495958 0.274446
0.33 0.71889 0.0524069 0.28111
0.34 0.712319 0.0552837 0.287681
0.35 0.705843 0.0582253 0.294157
0.36 0.699461 0.0612307 0.300539
0.37 0.693172 0.064299 0.306828
0.38 0.686977 0.0674292 0.313023
0.39 0.680874 0.0706205 0.319126
0.4 0.674864 0.0738718 0.325136
0.41 0.668946 0.0771824 0.331054
0.42 0.663121 0.0805512 0.336879
0.43 0.657387 0.0839773 0.342613
0.44 0.651744 0.0874599 0.348256
0.45 0.646192 0.0909979 0.353808
0.46 0.64073 0.0945906 0.35927
0.47 0.635359 0.0982371 0.364641
0.48 0.630078 0.101936 0.369922
0.49 0.624886 0.105687 0.375114
0.5 0.619783 0.10949 0.380217
0.51 0.614769 0.113342 0.385231
0.52 0.609843 0.117243 0.390157
0.53 0.605005 0.121193 0.394995
0.54 0.600254 0.125191 0.399746
0.55 0.59559 0.129235 0.40441
0.56 0.591013 0.133325 0.408987
0.57 0.586523 0.13746 0.413477
0.58 0.582118 0.141638 0.417882
0.59 0.577799 0.14586 0.422201
0.6 0.573564 0.150125 0.426436
0.61 0.569414 0.154431 0.430586
0.62 0.565349 0.158777 0.434651
0.63 0.561367 0.163164 0.438633
0.64 0.557468 0.167589 0.442532
0.65 0.553652 0.172052 0.446348
0.66 0.549918 0.176553 0.450082
0.67 0.546266 0.18109 0.453734
0.68 0.542696 0.185664 0.457304
0.69 0.539207 0.190271 0.460793
0.7 0.535798 0.194913 0.464202
0.71 0.532469 0.199589 0.467531
0.72 0.52922 0.204297 0.47078
0.73 0.52605 0.209036 0.47395
0.74 0.522958 0.213806 0.477042
0.75 0.519945 0.218607 0.480055
0.76 0.517009 0.223437 0.482991
0.77 0.514151 0.228295 0.485849
0.78 0.511369 0.233182 0.488631
0.79 0.508663 0.238095 0.491337
0.8 0.506033 0.243035 0.493967
0.81 0.503478 0.248 0.496522
0.82 0.500998 0.25299 0.499002
0.83 0.498592 0.258004 0.501408
0.84 0.49626 0.263042 0.50374
0.85 0.494001 0.268101 0.505999
0.86 0.491815 0.273183 0.508185
0.87 0.489701 0.278286 0.510299
0.88 0.487658 0.28341 0.512342
0.89 0.485687 0.288553 0.514313
0.9 0.483786 0.293715 0.516214
0.91 0.481956 0.298895 0.518044
0.92 0.480195 0.304094 0.519805
0.93 0.478503 0.309308 0.521497
0.94 0.476879 0.31454 0.523121
0.95 0.475324 0.319786 0.524676
0.96 0.473836 0.325048 0.526164
0.97 0.472415 0.330324 0.527585
0.98 0.471061 0.335613 0.528939
0.99 0.469772 0.340916 0.530228
1 0.468549 0.34623 0.531451
1.01 0.46739 0.351556 0.53261
1.02 0.466296 0.356893 0.533704
1.03 0.465266 0.362241 0.534734
1.04 0.464299 0.367598 0.535701
1.05 0.463395 0.372964 0.536605
1.06 0.462553 0.378338 0.537447
1.07 0.461772 0.38372 0.538228
1.08 0.461053 0.38911 0.538947
1.09 0.460394 0.394506 0.539606
1.1 0.459795 0.399908 0.540205
1.11 0.459256 0.405315 0.540744
1.12 0.458775 0.410728 0.541225
1.13 0.458353 0.416144 0.541647
1.14 0.457989 0.421564 0.542011
1.15 0.457682 0.426987 0.542318
1.16 0.457432 0.432413 0.542568
1.17 0.457238 0.437841 0.542762
1.18 0.457099 0.44327 0.542901
1.19 0.457016 0.4487 0.542984
1.2 0.456988 0.45413 0.543012
1.21 0.457013 0.45956 0.542987
1.22 0.457092 0.464989 0.542908
1.23 0.457224 0.470416 0.542776
1.24 0.457408 0.475842 0.542592
1.25 0.457645 0.481266 0.542355
1.26 0.457932 0.486687 0.542068
1.27 0.45827 0.492104 0.54173
1.28 0.458659 0.497517 0.541341
1.29 0.459097 0.502926 0.540903
1.3 0.459585 0.50833 0.540415
1.31 0.460121 0.513729 0.539879
1.32 0.460705 0.519122 0.539295
1.33 0.461337 0.524509 0.538663
1.34 0.462015 0.529889 0.537985
1.35 0.462741 0.535261 0.537259
1.36 0.463512 0.540626 0.536488
1.37 0.464328 0.545983 0.535672
1.38 0.46519 0.551331 0.53481
1.39 0.466096 0.55667 0.533904
1.4 0.467045 0.562 0.532955
1.41 0.468038 0.567319 0.531962
1.42 0.469073 0.572628 0.530927
1.43 0.470151 0.577927 0.529849
1.44 0.471271 0.583214 0.528729
1.45 0.472431 0.58849 0.527569
1.46 0.473632 0.593754 0.526368
1.47 0.474874 0.599005 0.525126
1.48 0.476155 0.604243 0.523845
1.49 0.477475 0.609469 0.522525
1.5 0.478833 0.61468 0.521167
1.51 0.48023 0.619878 0.51977
1.52 0.481664 0.625061 0.518336
1.53 0.483134 0.63023 0.516866
1.54 0.484642 0.635384 0.515358
1.55 0.486185 0.640522 0.513815
1.56 0.487764 0.645644 0.512236
1.57 0.489378 0.65075 0.510622
1.58 0.491026 0.65584 0.508974
1.59 0.492708 0.660913 0.507292
1.6 0.494423 0.665969 0.505577
1.61 0.496172 0.671007 0.503828
1.62 0.497953 0.676027 0.502047
1.63 0.499765 0.68103 0.500235
1.64 0.501609 0.686014 0.498391
1.65 0.503484 0.690979 0.496516
1.66 0.50539 0.695925 0.49461
1.67 0.507325 0.700852 0.492675
1.68 0.509289 0.705759 0.490711
1.69 0.511283 0.710646 0.488717
1.7 0.513305 0.715513 0.486695
1.71 0.515355 0.720359 0.484645
1.72 0.517433 0.725185 0.482567
1.73 0.519537 0.72999 0.480463
1.74 0.521668 0.734773 0.478332
1.75 0.523825 0.739535 0.476175
1.76 0.526008 0.744275 0.473992
1.77 0.528216 0.748993 0.471784
1.78 0.530448 0.753688 0.469552
1.79 0.532705 0.758361 0.467295
1.8 0.534985 0.763011 0.465015
1.81 0.537289 0.767638 0.462711
1.82 0.539615 0.772242 0.460385
1.83 0.541963 0.776822 0.458037
1.84 0.544334 0.781379 0.455666
1.85 0.546726 0.785912 0.453274
1.86 0.549139 0.79042 0.450861
1.87 0.551572 0.794905 0.448428
1.88 0.554025 0.799365 0.445975
1.89 0.556498 0.8038 0.443502
1.9 0.55899 0.80821 0.44101
1.91 0.561501 0.812595 0.438499
1.92 0.564031 0.816954 0.435969
1.93 0.566578 0.821289 0.433422
1.94 0.569142 0.825597 0.430858
1.95 0.571724 0.82988 0.428276
1.96 0.574322 0.834137 0.425678
1.97 0.576936 0.838367 0.423064
1.98 0.579566 0.842572 0.420434
1.99 0.582212 0.84675 0.417788
2 0.584872 0.850901 0.415128
2.01 0.587547 0.855025 0.412453
2.02 0.590236 0.859123 0.409764
2.03 0.592938 0.863194 0.407062
