time V1 V2 I
0 1 0 0
0.1 1 0 0.1
0.2 0.9 0.01 0.2
0.3 0.8 0.03 0.289
0.4 0.711 0.0589 0.366
0.5 0.634 0.0955 0.43121
0.6 0.56879 0.138621 0.48506
0.7 0.51494 0.187127 0.528077
0.8 0.471923 0.239935 0.560858
0.9 0.439142 0.296021 0.584057
1 0.415943 0.354426 0.598369
1.1 0.401631 0.414263 0.604521
1.2 0.395479 0.474715 0.603258
1.3 0.396742 0.535041 0.595334
1.4 0.404666 0.594574 0.581504
1.5 0.418496 0.652725 0.562513
1.6 0.437487 0.708976 0.53909
1.7 0.46091 0.762885 0.511941
1.8 0.488059 0.814079 0.481744
1.9 0.518256 0.862254 0.449142
2 0.550858 0.907168 0.414742
2.1 0.585258 0.948642 0.379111
2.2 0.620889 0.986553 0.342773
2.3 0.657227 1.02083 0.306206
2.4 0.693794 1.05145 0.269846
2.5 0.730154 1.07844 0.23408
2.6 0.76592 1.10184 0.199252
2.7 0.800748 1.12177 0.16566
2.8 0.83434 1.13833 0.133558
2.9 0.866442 1.15169 0.103158
3 0.896842 1.16201 0.0746333
3.1 0.925367 1.16947 0.0481168
3.2 0.951883 1.17428 0.0237065
3.3 0.976293 1.17665 0.00146669
3.4 0.998533 1.1768 -0.0185692
3.5 1.01857 1.17494 -0.0363957
3.6 1.0364 1.1713 -0.052033
3.7 1.05203 1.1661 -0.0655236
3.8 1.06552 1.15955 -0.0769302
3.9 1.07693 1.15185 -0.0863325
4 1.08633 1.14322 -0.0938249
4.1 1.09382 1.13384 -0.0995137
4.2 1.09951 1.12389 -0.103515
4.3 1.10351 1.11353 -0.105952
4.4 1.10595 1.10294 -0.106954
4.5 1.10695 1.09224 -0.106653
4.6 1.10665 1.08158 -0.105182
4.7 1.10518 1.07106 -0.102675
4.8 1.10267 1.06079 -0.0992625
4.9 1.09926 1.05087 -0.0950744
5 1.09507 1.04136 -0.0902348
5.1 1.09023 1.03234 -0.0848634
5.2 1.08486 1.02385 -0.0790735
5.3 1.07907 1.01594 -0.0729722
5.4 1.07297 1.00865 -0.0666591
5.5 1.06666 1.00198 -0.0602264
5.6 1.06023 0.995957 -0.0537584
5.7 1.05376 0.990581 -0.0473315
5.8 1.04733 0.985848 -0.0410137
5.9 1.04101 0.981746 -0.0348653
6 1.03487 0.97826 -0.0289386
6.1 1.02894 0.975366 -0.0232781
6.2 1.02328 0.973038 -0.0179208
6.3 1.01792 0.971246 -0.0128968
6.4 1.0129 0.969956 -0.00822935
6.5 1.00823 0.969134 -0.00393531
6.6 1.00394 0.96874 -2.57296e-05
6.7 1.00003 0.968737 0.0034938
6.8 0.996506 0.969087 0.00662264
6.9 0.993377 0.969749 0.00936458
7 0.990635 0.970686 0.0117274
7.1 0.988273 0.971858 0.0137224
7.2 0.986278 0.97323 0.0153638
7.3 0.984636 0.974767 0.0166685
7.4 0.983331 0.976434 0.0176555
7.5 0.982345 0.978199 0.0183452
7.6 0.981655 0.980034 0.0187598
7.7 0.98124 0.98191 0.0189219
7.8 0.981078 0.983802 0.0188549
7.9 0.981145 0.985687 0.0185825
8 0.981417 0.987546 0.0181283
8.1 0.981872 0.989359 0.0175155
8.2 0.982485 0.99111 0.0167668
8.3 0.983233 0.992787 0.0159042
8.4 0.984096 0.994377 0.0149489
8.5 0.985051 0.995872 0.0139207
8.6 0.986079 0.997264 0.0128386
8.7 0.987161 0.998548 0.0117202
8.8 0.98828 0.99972 0.0105815
8.9 0.989419 1.00078 0.00943747
9 0.990563 1.00172 0.0083015
9.1 0.991698 1.00255 0.00718556
9.2 0.992814 1.00327 0.00610021
9.3 0.9939 1.00388 0.00505459
9.4 0.994945 1.00439 0.0040565
9.5 0.995943 1.00479 0.00311243
9.6 0.996888 1.0051 0.00222761
9.7 0.997772 1.00533 0.00140606
9.8 0.998594 1.00547 0.000650726
9.9 0.999349 1.00553 -3.65167e-05
10 1.00004 1.00553 -0.000654733
