time V1 V2 I
0 0.904988 0.00475059 0.0950119
0.1 0.819455 0.00902726 0.180545
0.2 0.742455 0.0128773 0.257545
0.3 0.673136 0.0163432 0.326864
0.4 0.610733 0.0194634 0.389267
0.5 0.554555 0.0222722 0.445445
0.6 0.503982 0.0248009 0.496018
0.7 0.458454 0.0270773 0.541546
0.8 0.417468 0.0291266 0.582532
0.9 0.380571 0.0309714 0.619429
1 0.347355 0.0326322 0.652645
1.1 0.317453 0.0341274 0.682547
1.2 0.290533 0.0354733 0.709467
1.3 0.2663 0.036685 0.7337
1.4 0.244484 0.0377758 0.755516
1.5 0.224844 0.0387578 0.775156
1.6 0.207163 0.0396418 0.792837
1.7 0.191247 0.0404377 0.808753
1.8 0.176918 0.0411541 0.823082
1.9 0.164019 0.041799 0.835981
2 0.152407 0.0423797 0.847593
2.1 0.141953 0.0429024 0.858047
2.2 0.132542 0.0433729 0.867458
2.3 0.12407 0.0437965 0.87593
2.4 0.116443 0.0441779 0.883557
2.5 0.109577 0.0445212 0.890423
2.6 0.103396 0.0448302 0.896604
2.7 0.0978313 0.0451084 0.902169
2.8 0.092822 0.0453589 0.907178
2.9 0.0883125 0.0455844 0.911688
3 0.0842528 0.0457874 0.915747
3.1 0.0805981 0.0459701 0.919402
3.2 0.077308 0.0461346 0.922692
3.3 0.0743462 0.0462827 0.925654
3.4 0.0716798 0.046416 0.92832
3.5 0.0692795 0.046536 0.930721
3.6 0.0671186 0.0466441 0.932881
3.7 0.0651732 0.0467413 0.934827
3.8 0.063422 0.0468289 0.936578
3.9 0.0618455 0.0469077 0.938155
4 0.0604262 0.0469787 0.939574
4.1 0.0591485 0.0470426 0.940851
4.2 0.0579983 0.0471001 0.942002
4.3 0.0569629 0.0471519 0.943037
4.4 0.0560307 0.0471985 0.943969
4.5 0.0551915 0.0472404 0.944808
4.6 0.0544361 0.0472782 0.945564
4.7 0.053756 0.0473122 0.946244
4.8 0.0531438 0.0473428 0.946856
4.9 0.0525926 0.0473704 0.947407
5 0.0520964 0.0473952 0.947904
5.1 0.0516497 0.0474175 0.94835
5.2 0.0512476 0.0474376 0.948752
5.3 0.0508856 0.0474557 0.949114
5.4 0.0505598 0.047472 0.94944
5.5 0.0502664 0.0474867 0.949734
5.6 0.0500023 0.0474999 0.949998
5.7 0.0497645 0.0475118 0.950235
5.8 0.0495505 0.0475225 0.95045
5.9 0.0493578 0.0475321 0.950642
6 0.0491843 0.0475408 0.950816
6.1 0.0490282 0.0475486 0.950972
6.2 0.0488876 0.0475556 0.951112
6.3 0.048761 0.0475619 0.951239
6.4 0.0486471 0.0475676 0.951353
6.5 0.0485446 0.0475728 0.951455
6.6 0.0484522 0.0475774 0.951548
6.7 0.0483691 0.0475815 0.951631
6.8 0.0482943 0.0475853 0.951706
6.9 0.0482269 0.0475887 0.951773
7 0.0481663 0.0475917 0.951834
7.1 0.0481117 0.0475944 0.951888
7.2 0.0480625 0.0475969 0.951937
7.3 0.0480183 0.0475991 0.951982
7.4 0.0479785 0.0476011 0.952022
7.5 0.0479426 0.0476029 0.952057
7.6 0.0479103 0.0476045 0.95209
7.7 0.0478813 0.0476059 0.952119
7.8 0.0478551 0.0476072 0.952145
7.9 0.0478316 0.0476084 0.952168
8 0.0478104 0.0476095 0.95219
8.1 0.0477913 0.0476104 0.952209
8.2 0.0477741 0.0476113 0.952226
8.3 0.0477586 0.0476121 0.952241
8.4 0.0477447 0.0476128 0.952255
8.5 0.0477322 0.0476134 0.952268
8.6 0.0477209 0.047614 0.952279
8.7 0.0477107 0.0476145 0.952289
8.8 0.0477016 0.0476149 0.952298
8.9 0.0476933 0.0476153 0.952307
9 0.0476859 0.0476157 0.952314
9.1 0.0476793 0.047616 0.952321
9.2 0.0476733 0.0476163 0.952327
9.3 0.0476678 0.0476166 0.952332
9.4 0.047663 0.0476169 0.952337
9.5 0.0476586 0.0476171 0.952341
9.6 0.0476546 0.0476173 0.952345
9.7 0.0476511 0.0476174 0.952349
9.8 0.0476479 0.0476176 0.952352
9.9 0.047645 0.0476177 0.952355
10 0.0476424 0.0476179 0.952358
