time V1 V2 I
0 0.99005 4.975e-05 0.00995
0.01 0.980199 9.90025e-05 0.0198005
0.02 0.970447 0.000147763 0.0295525
0.03 0.960793 0.000196035 0.039207
0.04 0.951235 0.000243825 0.0487649
0.05 0.941773 0.000291136 0.0582273
0.06 0.932405 0.000337975 0.067595
0.07 0.923131 0.000384346 0.0768691
0.08 0.91395 0.000430252 0.0860504
0.09 0.90486 0.0004757 0.09514
0.1 0.895861 0.000520693 0.104139
0.11 0.886953 0.000565236 0.113047
0.12 0.878133 0.000609334 0.121867
0.13 0.869402 0.000652991 0.130598
0.14 0.860758 0.000696211 0.139242
0.15 0.8522 0.000738999 0.1478
0.16 0.843728 0.000781359 0.156272
0.17 0.835341 0.000823296 0.164659
0.18 0.827037 0.000864813 0.172963
0.19 0.818817 0.000905915 0.181183
0.2 0.810679 0.000946606 0.189321
0.21 0.802622 0.00098689 0.197378
0.22 0.794646 0.00102677 0.205354
0.23 0.786749 0.00106625 0.213251
0.24 0.778932 0.00110534 0.221068
0.25 0.771192 0.00114404 0.228808
0.26 0.76353 0.00118235 0.23647
0.27 0.755945 0.00122028 0.244055
0.28 0.748435 0.00125782 0.251565
0.29 0.741001 0.001295 0.258999
0.3 0.733641 0.0013318 0.266359
0.31 0.726354 0.00136823 0.273646
0.32 0.719141 0.0014043 0.280859
0.33 0.711999 0.00144 0.288001
0.34 0.704929 0.00147535 0.295071
0.35 0.69793 0.00151035 0.30207
0.36 0.691 0.001545 0.309
0.37 0.68414 0.0015793 0.31586
0.38 0.677349 0.00161326 0.322651
0.39 0.670625 0.00164687 0.329375
0.4 0.663969 0.00168015 0.336031
0.41 0.657379 0.0017131 0.342621
0.42 0.650855 0.00174572 0.349145
0.43 0.644397 0.00177802 0.355603
0.44 0.638003 0.00180999 0.361997
0.45 0.631673 0.00184164 0.368327
0.46 0.625406 0.00187297 0.374594
0.47 0.619202 0.00190399 0.380798
0.48 0.613059 0.0019347 0.386941
0.49 0.606979 0.00196511 0.393021
0.5 0.600959 0.00199521 0.399041
0.51 0.594999 0.002025 0.405001
0.52 0.589099 0.0020545 0.410901
0.53 0.583258 0.00208371 0.416742
0.54 0.577475 0.00211262 0.422525
0.55 0.57175 0.00214125 0.42825
0.56 0.566083 0.00216959 0.433917
0.57 0.560472 0.00219764 0.439528
0.58 0.554917 0.00222541 0.445083
0.59 0.549418 0.00225291 0.450582
0.6 0.543974 0.00228013 0.456026
0.61 0.538584 0.00230708 0.461416
0.62 0.533248 0.00233376 0.466752
0.63 0.527965 0.00236017 0.472035
0.64 0.522735 0.00238632 0.477265
0.65 0.517558 0.00241221 0.482442
