time V1 V2 I
0 0.99005 4.975e-05 0.00995
0.01 0.9802 0.0001985 0.0198
0.02 0.97045 0.00044525 0.02955
0.03 0.9608 0.000789001 0.0392001
0.04 0.95125 0.00122875 0.0487503
0.05 0.941799 0.00176351 0.0582006
0.06 0.932449 0.00239227 0.067551
0.07 0.923198 0.00311403 0.0768017
0.08 0.914047 0.0039278 0.0859527
0.09 0.904996 0.00483259 0.0950042
0.1 0.896044 0.00582739 0.103956
0.11 0.887191 0.00691121 0.112809
0.12 0.878438 0.00808306 0.121562
0.13 0.869784 0.00934195 0.130216
0.14 0.861229 0.0106869 0.138771
0.15 0.852773 0.0121169 0.147227
0.16 0.844416 0.0136309 0.155584
0.17 0.836158 0.0152281 0.163842
0.18 0.827997 0.0169073 0.172003
0.19 0.819936 0.0186676 0.180064
0.2 0.811972 0.0205081 0.188028
0.21 0.804106 0.0224277 0.195894
0.22 0.796338 0.0244255 0.203662
0.23 0.788668 0.0265004 0.211332
0.24 0.781095 0.0286516 0.218905
0.25 0.773619 0.030878 0.226381
0.26 0.76624 0.0331787 0.23376
0.27 0.758958 0.0355528 0.241042
0.28 0.751772 0.0379991 0.248228
0.29 0.744682 0.0405168 0.255318
0.3 0.737688 0.043105 0.262312
0.31 0.73079 0.0457626 0.26921
0.32 0.723988 0.0484887 0.276012
0.33 0.71728 0.0512824 0.28272
0.34 0.710668 0.0541426 0.289332
0.35 0.70415 0.0570685 0.29585
0.36 0.697726 0.0600592 0.302274
0.37 0.691396 0.0631136 0.308604
0.38 0.68516 0.0662308 0.31484
0.39 0.679017 0.0694099 0.320983
0.4 0.672968 0.07265 0.327032
0.41 0.667011 0.0759501 0.332989
0.42 0.661146 0.0793093 0.338854
0.43 0.655374 0.0827267 0.344626
0.44 0.649693 0.0862014 0.350307
0.45 0.644104 0.0897324 0.355896
0.46 0.638606 0.0933188 0.361394
0.47 0.633198 0.0969598 0.366802
0.48 0.627881 0.100654 0.372119
0.49 0.622653 0.104402 0.377347
0.5 0.617515 0.108201 0.382485
0.51 0.612467 0.112051 0.387533
0.52 0.607507 0.115951 0.392493
0.53 0.602635 0.1199 0.397365
0.54 0.597852 0.123898 0.402148
0.55 0.593156 0.127943 0.406844
0.56 0.588548 0.132034 0.411452
0.57 0.584026 0.136172 0.415974
0.58 0.57959 0.140353 0.42041
0.59 0.575241 0.144579 0.424759
0.6 0.570977 0.148848 0.429023
0.61 0.566798 0.153159 0.433202
0.62 0.562704 0.157512 0.437296
0.63 0.558694 0.161905 0.441306
0.64 0.554768 0.166338 0.445232
0.65 0.550925 0.170809 0.449075
0.66 0.547165 0.175319 0.452835
0.67 0.543488 0.179865 0.456512
0.68 0.539893 0.184448 0.460107
0.69 0.536379 0.189067 0.463621
0.7 0.532946 0.19372 0.467054
0.71 0.529594 0.198408 0.470406
0.72 0.526322 0.203128 0.473678
0.73 0.52313 0.207881 0.47687
0.74 0.520017 0.212665 0.479983
0.75 0.516983 0.21748 0.483017
0.76 0.514027 0.222325 0.485973
0.77 0.511148 0.227199 0.488852
0.78 0.508347 0.232102 0.491653
0.79 0.505623 0.237032 0.494377
0.8 0.502975 0.241989 0.497025
0.81 0.500403 0.246972 0.499597
0.82 0.497906 0.251981 0.502094
0.83 0.495484 0.257014 0.504516
0.84 0.493137 0.26207 0.506863
0.85 0.490863 0.26715 0.509137
0.86 0.488662 0.272253 0.511338
0.87 0.486534 0.277377 0.513466
0.88 0.484479 0.282522 0.515521
0.89 0.482495 0.287687 0.517505
0.9 0.480582 0.292872 0.519418
0.91 0.478741 0.298075 0.521259
0.92 0.476969 0.303296 0.523031
0.93 0.475267 0.308535 0.524733
0.94 0.473634 0.313791 0.526366
0.95 0.47207 0.319062 0.52793
0.96 0.470574 0.324349 0.529426
0.97 0.469145 0.32965 0.530855
0.98 0.467783 0.334966 0.532217
0.99 0.466488 0.340294 0.533512
1 0.465259 0.345636 0.534741
1.01 0.464096 0.350989 0.535904
1.02 0.462997 0.356353 0.537003
1.03 0.461962 0.361729 0.538038
1.04 0.460992 0.367114 0.539008
1.05 0.460085 0.372508 0.539915
1.06 0.45924 0.377912 0.54076
1.07 0.458458 0.383323 0.541542
1.08 0.457737 0.388742 0.542263
1.09 0.457078 0.394168 0.542922
1.1 0.456479 0.3996 0.543521
1.11 0.45594 0.405038 0.54406
1.12 0.45546 0.410481 0.54454
1.13 0.45504 0.415929 0.54496
1.14 0.454678 0.42138 0.545322
1.15 0.454374 0.426835 0.545626
1.16 0.454127 0.432293 0.545873
1.17 0.453937 0.437752 0.546063
1.18 0.453803 0.443214 0.546197
1.19 0.453725 0.448676 0.546275
1.2 0.453702 0.454139 0.546298
1.21 0.453733 0.459602 0.546267
1.22 0.453819 0.465064 0.546181
1.23 0.453958 0.470525 0.546042
1.24 0.45415 0.475984 0.54585
1.25 0.454394 0.481442 0.545606
1.26 0.45469 0.486896 0.54531
1.27 0.455038 0.492348 0.544962
1.28 0.455436 0.497795 0.544564
1.29 0.455885 0.503239 0.544115
1.3 0.456383 0.508677 0.543617
1.31 0.456931 0.514111 0.543069
1.32 0.457527 0.519538 0.542473
1.33 0.458171 0.52496 0.541829
1.34 0.458862 0.530375 0.541138
1.35 0.459601 0.535782 0.540399
1.36 0.460385 0.541183 0.539615
1.37 0.461216 0.546575 0.538784
1.38 0.462092 0.551958 0.537908
1.39 0.463013 0.557332 0.536987
1.4 0.463978 0.562698 0.536022
1.41 0.464987 0.568053 0.535013
1.42 0.466039 0.573398 0.533961
1.43 0.467134 0.578732 0.532866
1.44 0.468271 0.584055 0.531729
1.45 0.46945 0.589366 0.53055
1.46 0.470669 0.594665 0.529331
1.47 0.471929 0.599952 0.528071
1.48 0.473229 0.605227 0.526771
1.49 0.474569 0.610488 0.525431
1.5 0.475948 0.615735 0.524052
1.51 0.477364 0.620969 0.522636
1.52 0.478819 0.626188 0.521181
1.53 0.480312 0.631392 0.519688
1.54 0.481841 0.636581 0.518159
1.55 0.483406 0.641755 0.516594
1.56 0.485007 0.646913 0.514993
1.57 0.486644 0.652055 0.513356
1.58 0.488315 0.65718 0.511685
1.59 0.490021 0.662288 0.509979
1.6 0.49176 0.667379 0.50824
1.61 0.493533 0.672453 0.506467
1.62 0.495339 0.677508 0.504661
1.63 0.497176 0.682546 0.502824
1.64 0.499046 0.687565 0.500954
1.65 0.500946 0.692565 0.499054
1.66 0.502878 0.697546 0.497122
1.67 0.50484 0.702507 0.49516
1.68 0.506831 0.707449 0.493169
1.69 0.508852 0.71237 0.491148
1.7 0.510901 0.717272 0.489099
1.71 0.512979 0.722152 0.487021
1.72 0.515084 0.727012 0.484916
1.73 0.517217 0.73185 0.482783
1.74 0.519377 0.736667 0.480623
1.75 0.521563 0.741463 0.478437
1.76 0.523774 0.746236 0.476226
1.77 0.526012 0.750987 0.473988
1.78 0.528274 0.755716 0.471726
1.79 0.53056 0.760421 0.46944
1.8 0.532871 0.765104 0.467129
1.81 0.535205 0.769764 0.464795
1.82 0.537562 0.7744 0.462438
1.83 0.539941 0.779013 0.460059
1.84 0.542343 0.783601 0.457657
1.85 0.544766 0.788166 0.455234
1.86 0.547211 0.792706 0.452789
1.87 0.549676 0.797221 0.450324
1.88 0.552161 0.801712 0.447839
1.89 0.554667 0.806178 0.445333
1.9 0.557191 0.810619 0.442809
1.91 0.559735 0.815034 0.440265
1.92 0.562297 0.819424 0.437703
1.93 0.564877 0.823788 0.435123
1.94 0.567475 0.828126 0.432525
1.95 0.57009 0.832438 0.42991
1.96 0.572722 0.836724 0.427278
1.97 0.57537 0.840984 0.42463
1.98 0.578034 0.845217 0.421966
1.99 0.580713 0.849423 0.419287
2 0.583408 0.853603 0.416592
2.01 0.586117 0.857755 0.413883
2.02 0.58884 0.86188 0.41116
2.03 0.591578 0.865978 0.408422
2.04 0.594328 0.870048 0.405672
2.05 0.597092 0.874091 0.402908
2.06 0.599868 0.878107 0.400132
2.07 0.602656 0.882094 0.397344
2.08 0.605457 0.886053 0.394543
2.09 0.608268 0.889985 0.391732
2.1 0.611091 0.893888 0.388909
2.11 0.613924 0.897763 0.386076
2.12 0.616767 0.901609 0.383233
2.13 0.619621 0.905428 0.380379
2.14 0.622483 0.909217 0.377517
2.15 0.625355 0.912978 0.374645
2.16 0.628236 0.91671 0.371764
2.17 0.631124 0.920413 0.368876
2.18 0.634021 0.924087 0.365979
2.19 0.636925 0.927733 0.363075
2.2 0.639837 0.931349 0.360163
2.21 0.642756 0.934936 0.357244
2.22 0.645681 0.938494 0.354319
2.23 0.648612 0.942022 0.351388
2.24 0.651549 0.945521 0.348451
2.25 0.654491 0.948991 0.345509
2.26 0.657438 0.952432 0.342562
2.27 0.660391 0.955842 0.339609
2.28 0.663347 0.959224 0.336653
2.29 0.666308 0.962575 0.333692
2.3 0.669272 0.965898 0.330728
2.31 0.67224 0.96919 0.32776
2.32 0.675211 0.972453 0.324789
2.33 0.678185 0.975686 0.321815
2.34 0.681161 0.978889 0.318839
2.35 0.684139 0.982062 0.315861
2.36 0.687119 0.985206 0.312881
2.37 0.690101 0.98832 0.309899
2.38 0.693084 0.991404 0.306916
2.39 0.696067 0.994458 0.303933
2.4 0.699051 0.997483 0.300949
2.41 0.702036 1.00048 0.297964
2.42 0.70502 1.00344 0.29498
2.43 0.708004 1.00638 0.291996
2.44 0.710987 1.00928 0.289013
2.45 0.71397 1.01216 0.28603
2.46 0.716951 1.015 0.283049
2.47 0.719931 1.01782 0.280069
2.48 0.722909 1.0206 0.277091
2.49 0.725884 1.02336 0.274116
2.5 0.728858 1.02609 0.271142
2.51 0.731829 1.02878 0.268171
2.52 0.734797 1.03145 0.265203
2.53 0.737762 1.03409 0.262238
2.54 0.740723 1.03669 0.259277
2.55 0.743681 1.03927 0.256319
2.56 0.746635 1.04182 0.253365
2.57 0.749585 1.04434 0.250415
2.58 0.75253 1.04683 0.24747
2.59 0.755471 1.04929 0.244529
2.6 0.758406 1.05172 0.241594
2.61 0.761337 1.05412 0.238663
2.62 0.764262 1.05649 0.235738
2.63 0.767181 1.05884 0.232819
2.64 0.770095 1.06115 0.229905
2.65 0.773002 1.06343 0.226998
2.66 0.775903 1.06569 0.224097
2.67 0.778798 1.06792 0.221202
2.68 0.781686 1.07011 0.218314
2.69 0.784566 1.07228 0.215434
2.7 0.78744 1.07442 0.21256
2.71 0.790306 1.07653 0.209694
2.72 0.793164 1.07862 0.206836
2.73 0.796015 1.08067 0.203985
2.74 0.798857 1.0827 0.201143
2.75 0.801691 1.08469 0.198309
2.76 0.804517 1.08666 0.195483
2.77 0.807334 1.0886 0.192666
2.78 0.810142 1.09052 0.189858
2.79 0.812942 1.0924 0.187058
2.8 0.815731 1.09426 0.184269
2.81 0.818512 1.09609 0.181488
2.82 0.821283 1.09789 0.178717
2.83 0.824044 1.09966 0.175956
2.84 0.826795 1.10141 0.173205
2.85 0.829536 1.10312 0.170464
2.86 0.832267 1.10482 0.167733
