time V1 V2 V3 I
0 0 0 0 0
0.2 1.80341 1.64094 0.016247 0.16247
0.4 1.0692 0.759674 0.0629326 0.309525
0.6 0.949395 0.537042 0.133475 0.412352
0.8 0.949056 0.469313 0.220955 0.479743
1 0.948331 0.431177 0.319068 0.517154
1.2 0.947163 0.418101 0.422315 0.529062
1.4 0.947919 0.427966 0.526057 0.519953
1.6 0.950411 0.456205 0.626532 0.494206
1.8 0.954185 0.498238 0.720817 0.455947
2 0.95885 0.549905 0.806771 0.408945
2.2 0.96407 0.607518 0.882963 0.356552
2.4 0.969553 0.667891 0.948581 0.301662
2.6 0.975054 0.728355 1.00335 0.2467
2.8 0.980376 0.786753 1.04742 0.193623
3 0.985364 0.841418 1.0813 0.143947
3.2 0.989907 0.891137 1.10577 0.0987703
3.4 0.99393 0.935106 1.12176 0.0588237
3.6 0.99739 0.97288 1.13037 0.0245101
3.8 1.00027 1.00432 1.13269 -0.00404427
4 1.00259 1.02953 1.12988 -0.0269414
4.2 1.00437 1.04883 1.12301 -0.0444637
4.4 1.00565 1.06268 1.11312 -0.0570293
4.6 1.00648 1.07164 1.10113 -0.0651507
4.8 1.00693 1.07633 1.08788 -0.0693988
5 1.00704 1.07741 1.07409 -0.0703714
5.2 1.00688 1.07555 1.06033 -0.0686665
5.4 1.00651 1.07137 1.0471 -0.0648615
5.6 1.00598 1.06548 1.03475 -0.0594967
5.8 1.00534 1.0584 1.02356 -0.0530629
6 1.00464 1.05063 1.0137 -0.0459943
6.2 1.0039 1.04257 1.00526 -0.0386635
6.4 1.00317 1.03455 0.99826 -0.0313805
6.6 1.00247 1.02687 0.992674 -0.0243938
6.8 1.00182 1.01971 0.988427 -0.0178932
7 1.00123 1.01324 0.985409 -0.012015
7.2 1.00071 1.00756 0.98349 -0.0068468
7.4 1.00026 1.0027 0.982526 -0.00243442
7.6 0.999895 0.998683 0.982366 0.001212
7.8 0.999602 0.99549 0.982861 0.00411138
8 0.999379 0.993073 0.983867 0.00630541
8.2 0.999221 0.991368 0.985249 0.00785267
8.4 0.999121 0.990298 0.986886 0.00882333
8.6 0.999072 0.989777 0.988671 0.00929438
8.8 0.999065 0.989719 0.990512 0.00934565
9 0.999092 0.990036 0.992333 0.00905639
9.2 0.999146 0.990644 0.994074 0.00850258
9.4 0.99922 0.991465 0.995688 0.00775492
9.6 0.999308 0.99243 0.997143 0.00687728
9.8 0.999402 0.993477 0.998419 0.00592581
10 0.9995 0.994552 0.999503 0.00494844
