time V1 V2 V3 I
0 0 0 0 0
0.1 1.66667 1.66667 0 0
0.2 1.15318 1.0814 0.00478498 0.0717746
0.3 0.984591 0.83436 0.0163953 0.150231
0.4 0.971194 0.747335 0.0351894 0.223859
0.5 0.970466 0.680734 0.0607696 0.289733
0.6 0.965959 0.619153 0.0924167 0.346806
0.7 0.961021 0.566071 0.129296 0.394949
0.8 0.956922 0.522464 0.170553 0.434458
0.9 0.953699 0.487902 0.215358 0.465797
1 0.951256 0.461757 0.262926 0.489498
1.1 0.949525 0.443401 0.312524 0.506124
1.2 0.94845 0.432202 0.363473 0.516248
1.3 0.947973 0.427526 0.415153 0.520447
1.4 0.948037 0.42874 0.466999 0.519297
1.5 0.948585 0.435224 0.518505 0.513361
1.6 0.949562 0.446369 0.56922 0.503192
1.7 0.950913 0.461588 0.618747 0.489326
1.8 0.952589 0.480314 0.666741 0.472275
1.9 0.954538 0.502007 0.712907 0.452531
2 0.956715 0.526155 0.757 0.43056
2.1 0.959075 0.552274 0.798818 0.406801
2.2 0.961577 0.579915 0.838201 0.381662
2.3 0.964182 0.608658 0.875031 0.355524
2.4 0.966855 0.638118 0.909223 0.328737
2.5 0.969565 0.667942 0.940728 0.301623
2.6 0.972281 0.697811 0.969528 0.27447
2.7 0.974977 0.727438 0.995631 0.24754
2.8 0.977631 0.756568 1.01907 0.221063
2.9 0.98022 0.784978 1.0399 0.195242
3 0.982728 0.812473 1.05819 0.170254
3.1 0.985139 0.83889 1.07404 0.146249
3.2 0.98744 0.864091 1.08755 0.12335
3.3 0.989622 0.887963 1.09882 0.101659
3.4 0.991675 0.910418 1.108 0.0812569
3.5 0.993595 0.931393 1.11521 0.0622018
3.6 0.995375 0.950841 1.12058 0.0445344
3.7 0.997015 0.968738 1.12425 0.0282775
3.8 0.998513 0.985075 1.12637 0.0134386
3.9 0.99987 0.99986 1.12708 1.07639e-05
4 1.00109 1.01311 1.12652 -0.0120254
4.1 1.00217 1.02487 1.12481 -0.0227004
4.2 1.00312 1.03517 1.12211 -0.0320547
4.3 1.00394 1.04407 1.11853 -0.0401366
4.4 1.00464 1.05164 1.11421 -0.0470019
4.5 1.00522 1.05793 1.10925 -0.0527116
4.6 1.00569 1.06302 1.10378 -0.0573318
4.7 1.00606 1.06699 1.09789 -0.0609317
4.8 1.00634 1.06992 1.09169 -0.063583
4.9 1.00652 1.07188 1.08526 -0.065359
5 1.00663 1.07296 1.0787 -0.0663337
5.1 1.00666 1.07324 1.07207 -0.0665809
5.2 1.00662 1.0728 1.06545 -0.0661737
5.3 1.00653 1.07171 1.0589 -0.0651838
5.4 1.00639 1.07007 1.05247 -0.0636808
5.5 1.00619 1.06793 1.04621 -0.0617323
5.6 1.00597 1.06537 1.04017 -0.0594027
5.7 1.0057 1.06246 1.03437 -0.0567536
5.8 1.00541 1.05926 1.02885 -0.053843
5.9 1.0051 1.05583 1.02362 -0.0507257
6 1.00478 1.05223 1.01872 -0.0474524
6.1 1.00444 1.04851 1.01415 -0.0440702
6.2 1.0041 1.04472 1.00991 -0.0406224
6.3 1.00375 1.0409 1.00603 -0.0371483
6.4 1.0034 1.03709 1.00248 -0.0336835
6.5 1.00306 1.03332 0.999287 -0.0302596
6.6 1.00272 1.02963 0.996427 -0.0269049
6.7 1.0024 1.02604 0.993898 -0.0236438
6.8 1.00208 1.02258 0.991688 -0.0204974
6.9 1.00178 1.01926 0.989786 -0.0174836
7 1.00149 1.01611 0.988177 -0.014617
7.1 1.00122 1.01313 0.986847 -0.0119095
7.2 1.00096 1.01033 0.985779 -0.00937014
7.3 1.00072 1.00773 0.984956 -0.00700549
7.4 1.0005 1.00532 0.98436 -0.00481978
7.5 1.0003 1.00312 0.983974 -0.00281509
7.6 1.00012 1.00111 0.983779 -0.000991593
7.7 0.99995 0.999298 0.983758 0.000652264
7.8 0.999802 0.997682 0.983892 0.00211958
7.9 0.999671 0.996256 0.984164 0.00341479
8 0.999556 0.995013 0.984558 0.00454351
8.1 0.999458 0.993945 0.985057 0.00551233
8.2 0.999375 0.993046 0.985645 0.00632868
8.3 0.999306 0.992305 0.986308 0.00700064
8.4 0.999251 0.991714 0.987031 0.00753685
8.5 0.999209 0.991263 0.987802 0.00794629
8.6 0.999179 0.99094 0.988608 0.00823826
8.7 0.999159 0.990737 0.989438 0.00842216
8.8 0.99915 0.990642 0.990282 0.00850747
8.9 0.999149 0.990646 0.99113 0.00850358
9 0.999157 0.990737 0.991974 0.00841979
9.1 0.999172 0.990906 0.992807 0.00826517
9.2 0.999193 0.991144 0.993621 0.00804852
9.3 0.999219 0.991441 0.994411 0.00777832
9.4 0.99925 0.991788 0.995172 0.00746266
9.5 0.999285 0.992176 0.995899 0.00710924
9.6 0.999324 0.992598 0.99659 0.00672532
9.7 0.999364 0.993046 0.997241 0.00631767
9.8 0.999406 0.993514 0.997851 0.00589261
9.9 0.99945 0.993994 0.998419 0.00545596
10 0.999494 0.994481 0.998942 0.00501304
