time	V1	V2	V3	I								time	V1	V2	V3	I
0	0.666667	0.666667	0	0								0	1.66667	1.66667	0	0
0.01	0.888889	0.885556	0	0.00333333								0.1	0.555556	0.472222	0	0.0833333
0.02	0.962852	0.955091	1.67E-05	0.00776111								0.2	1.28935	1.18241	0.00416667	0.106944
0.03	0.987359	0.974822	5.55E-05	0.0125365								0.3	0.798187	0.63233	0.00951389	0.165856
0.04	0.995368	0.977958	0.000118155	0.0174103								0.4	1.12072	0.923724	0.0178067	0.196997
0.05	0.997876	0.975576	0.000205206	0.0222995								0.5	0.903103	0.66081	0.0276566	0.242293
0.06	0.998549	0.971372	0.000316704	0.0271764								0.6	1.04441	0.770456	0.0397712	0.273951
0.07	0.99861	0.966579	0.000452586	0.0320316								0.7	0.947566	0.637081	0.0534688	0.310485
0.08	0.998469	0.961607	0.000612744	0.0368623								0.8	1.00908	0.669416	0.068993	0.339666
0.09	0.998261	0.956594	0.000797055	0.0416672								0.9	0.96564	0.595953	0.0859763	0.369687
0.1	0.998031	0.951585	0.00100539	0.0464462								1	0.9921	0.596914	0.104461	0.395186
0.11	0.997796	0.946596	0.00123762	0.0511991								1.1	0.972335	0.552526	0.12422	0.419808
0.12	0.997559	0.941633	0.00149362	0.0559259								1.2	0.983459	0.542236	0.14521	0.441224
0.13	0.997322	0.936695	0.00177325	0.0606266								1.3	0.974258	0.513183	0.167272	0.461075
0.14	0.997086	0.931785	0.00207638	0.0653012								1.4	0.978738	0.500368	0.190325	0.478371
0.15	0.996852	0.926902	0.00240289	0.0699498								1.5	0.97431	0.480438	0.214244	0.493873
0.16	0.996619	0.922047	0.00275264	0.0745723								1.6	0.97597	0.468788	0.238937	0.507182
0.17	0.996387	0.917219	0.0031255	0.0791687								1.7	0.973755	0.45508	0.264297	0.518675
0.18	0.996157	0.912418	0.00352134	0.0837392								1.8	0.974274	0.44606	0.29023	0.528214
0.19	0.995928	0.907644	0.00394004	0.0882837								1.9	0.973133	0.437127	0.316641	0.536006
0.2	0.9957	0.902898	0.00438146	0.0928022								2	0.973244	0.431215	0.343441	0.54203
0.21	0.995473	0.898178	0.00484547	0.0972948								2.1	0.972668	0.426249	0.370543	0.546418
0.22	0.995248	0.893486	0.00533194	0.101761								2.2	0.972686	0.423483	0.397864	0.549204
0.23	0.995024	0.888822	0.00584075	0.106202								2.3	0.972442	0.421957	0.425324	0.550485
0.24	0.994801	0.884184	0.00637176	0.110617								2.4	0.972498	0.422182	0.452848	0.550316
0.25	0.99458	0.879574	0.00692484	0.115006								2.5	0.972475	0.423692	0.480364	0.548783
0.26	0.99436	0.87499	0.00749988	0.119369								2.6	0.972618	0.426669	0.507803	0.54595
0.27	0.994141	0.870434	0.00809672	0.123707								2.7	0.972759	0.430866	0.535101	0.541893
0.28	0.993923	0.865905	0.00871526	0.128019								2.8	0.973003	0.436322	0.562195	0.536681
0.29	0.993707	0.861403	0.00935535	0.132305								2.9	0.973275	0.442887	0.589029	0.530387
0.3	0.993492	0.856927	0.0100169	0.136565								3	0.973618	0.450538	0.615549	0.52308
0.31	0.993279	0.852479	0.0106997	0.140799								3.1	0.973998	0.459168	0.641703	0.51483
0.32	0.993066	0.848058	0.0114037	0.145008								3.2	0.974432	0.468729	0.667444	0.505703
0.33	0.992855	0.843664	0.0121287	0.149191								3.3	0.974903	0.479136	0.692729	0.495767
0.34	0.992645	0.839296	0.0128747	0.153349								3.4	0.975417	0.49033	0.717518	0.485088
0.35	0.992437	0.834956	0.0136414	0.157481								3.5	0.975965	0.502236	0.741772	0.473728
0.36	0.99223	0.830642	0.0144288	0.161588								3.6	0.976546	0.514795	0.765458	0.461751
0.37	0.992024	0.826355	0.0152368	0.165669								3.7	0.977157	0.527938	0.788546	0.449218
0.38	0.991819	0.822094	0.0160651	0.169724								3.8	0.977794	0.541606	0.811007	0.436188
0.39	0.991615	0.817861	0.0169137	0.173755								3.9	0.978455	0.555737	0.832816	0.422718
0.4	0.991413	0.813654	0.0177825	0.177759								4	0.979137	0.570273	0.853952	0.408864
0.41	0.991212	0.809474	0.0186713	0.181739								4.1	0.979837	0.585157	0.874395	0.39468
0.42	0.991013	0.80532	0.01958	0.185693								4.2	0.980552	0.600334	0.894129	0.380218
0.43	0.990815	0.801193	0.0205085	0.189621								4.3	0.98128	0.615752	0.91314	0.365528
0.44	0.990617	0.797093	0.0214566	0.193525								4.4	0.982019	0.63136	0.931417	0.350659
0.45	0.990422	0.793019	0.0224242	0.197403								4.5	0.982766	0.64711	0.94895	0.335656
0.46	0.990227	0.788971	0.0234112	0.201256								4.6	0.983518	0.662954	0.965732	0.320564
0.47	0.990034	0.78495	0.0244175	0.205084								4.7	0.984274	0.678849	0.981761	0.305425
0.48	0.989842	0.780955	0.0254429	0.208886								4.8	0.985032	0.694752	0.997032	0.29028
0.49	0.989651	0.776987	0.0264874	0.212664								4.9	0.985789	0.710623	1.01155	0.275166
0.5	0.989462	0.773045	0.0275507	0.216417								5	0.986544	0.726424	1.0253	0.260119
0.51	0.989273	0.769129	0.0286328	0.220144								5.1	0.987294	0.742119	1.03831	0.245175
0.52	0.989086	0.76524	0.0297335	0.223846								5.2	0.988039	0.757673	1.05057	0.230366
0.53	0.988901	0.761377	0.0308527	0.227524								5.3	0.988777	0.773056	1.06209	0.215721
0.54	0.988716	0.757539	0.0319903	0.231177								5.4	0.989505	0.788236	1.07287	0.201269
0.55	0.988533	0.753728	0.0331462	0.234804								5.5	0.990224	0.803186	1.08294	0.187038
0.56	0.988351	0.749943	0.0343202	0.238407								5.6	0.990931	0.817881	1.09229	0.17305
0.57	0.98817	0.746185	0.0355123	0.241985								5.7	0.991625	0.832296	1.10094	0.15933
0.58	0.98799	0.742452	0.0367222	0.245539								5.8	0.992306	0.846408	1.10891	0.145897
0.59	0.987812	0.738745	0.0379499	0.249067								5.9	0.992971	0.860199	1.1162	0.132772
0.6	0.987635	0.735064	0.0391952	0.252571								6	0.993621	0.873649	1.12284	0.119972
0.61	0.987459	0.731409	0.0404581	0.256051								6.1	0.994255	0.886742	1.12884	0.107513
0.62	0.987285	0.727779	0.0417383	0.259505								6.2	0.994871	0.899463	1.13422	0.0954078
0.63	0.987111	0.724176	0.0430359	0.262936								6.3	0.995469	0.911799	1.13899	0.0836702
0.64	0.986939	0.720598	0.0443505	0.266341								6.4	0.996048	0.923737	1.14317	0.0723108
0.65	0.986768	0.717046	0.0456823	0.269723								6.5	0.996609	0.935269	1.14678	0.0613392
0.66	0.986599	0.713519	0.0470309	0.273079								6.6	0.997149	0.946386	1.14985	0.0507635
0.67	0.98643	0.710018	0.0483963	0.276412								6.7	0.99767	0.95708	1.15239	0.0405902
0.68	0.986263	0.706543	0.0497783	0.27972								6.8	0.998171	0.967346	1.15442	0.0308247
0.69	0.986097	0.703093	0.0511769	0.283004								6.9	0.998651	0.97718	1.15596	0.021471
0.7	0.985932	0.699669	0.0525919	0.286263								7	0.99911	0.986578	1.15703	0.012532
0.71	0.985769	0.69627	0.0540233	0.289499								7.1	0.999549	0.99554	1.15766	0.00400917
0.72	0.985606	0.692896	0.0554708	0.29271								7.2	0.999967	1.00406	1.15786	-0.00409688
0.73	0.985445	0.689548	0.0569343	0.295897								7.3	1.00036	1.01215	1.15766	-0.0117868
0.74	0.985285	0.686225	0.0584138	0.29906								7.4	1.00074	1.0198	1.15707	-0.0190621
0.75	0.985126	0.682927	0.0599091	0.302199								7.5	1.0011	1.02702	1.15611	-0.0259253
0.76	0.984969	0.679654	0.0614201	0.305314								7.6	1.00143	1.03381	1.15482	-0.03238
0.77	0.984812	0.676407	0.0629467	0.308406								7.7	1.00174	1.04018	1.1532	-0.0384304
0.78	0.984657	0.673184	0.0644887	0.311473								7.8	1.00204	1.04612	1.15128	-0.0440815
0.79	0.984503	0.669987	0.0660461	0.314516								7.9	1.00231	1.05165	1.14907	-0.0493394
0.8	0.984351	0.666815	0.0676186	0.317536								8	1.00257	1.05678	1.14661	-0.0542104
0.81	0.984199	0.663667	0.0692063	0.320532								8.1	1.0028	1.06151	1.1439	-0.0587017
0.82	0.984049	0.660544	0.070809	0.323504								8.2	1.00302	1.06584	1.14096	-0.0628211
0.83	0.983899	0.657446	0.0724265	0.326453								8.3	1.00322	1.0698	1.13782	-0.066577
