time V1 V2 V3 I
0 1.66667 1.66667 0 0
0.1 0.555556 0.472222 0 0.0833333
0.2 1.28935 1.18241 0.00416667 0.106944
0.3 0.798187 0.63233 0.00951389 0.165856
0.4 1.12072 0.923724 0.0178067 0.196997
0.5 0.903103 0.66081 0.0276566 0.242293
0.6 1.04441 0.770456 0.0397712 0.273951
0.7 0.947566 0.637081 0.0534688 0.310485
0.8 1.00908 0.669416 0.068993 0.339666
0.9 0.96564 0.595953 0.0859763 0.369687
1 0.9921 0.596914 0.104461 0.395186
1.1 0.972335 0.552526 0.12422 0.419808
1.2 0.983459 0.542236 0.14521 0.441224
1.3 0.974258 0.513183 0.167272 0.461075
1.4 0.978738 0.500368 0.190325 0.478371
1.5 0.97431 0.480438 0.214244 0.493873
1.6 0.97597 0.468788 0.238937 0.507182
1.7 0.973755 0.45508 0.264297 0.518675
1.8 0.974274 0.44606 0.29023 0.528214
1.9 0.973133 0.437127 0.316641 0.536006
2 0.973244 0.431215 0.343441 0.54203
2.1 0.972668 0.426249 0.370543 0.546418
2.2 0.972686 0.423483 0.397864 0.549204
2.3 0.972442 0.421957 0.425324 0.550485
2.4 0.972498 0.422182 0.452848 0.550316
2.5 0.972475 0.423692 0.480364 0.548783
2.6 0.972618 0.426669 0.507803 0.54595
2.7 0.972759 0.430866 0.535101 0.541893
2.8 0.973003 0.436322 0.562195 0.536681
2.9 0.973275 0.442887 0.589029 0.530387
3 0.973618 0.450538 0.615549 0.52308
3.1 0.973998 0.459168 0.641703 0.51483
3.2 0.974432 0.468729 0.667444 0.505703
3.3 0.974903 0.479136 0.692729 0.495767
3.4 0.975417 0.49033 0.717518 0.485088
3.5 0.975965 0.502236 0.741772 0.473728
3.6 0.976546 0.514795 0.765458 0.461751
3.7 0.977157 0.527938 0.788546 0.449218
3.8 0.977794 0.541606 0.811007 0.436188
3.9 0.978455 0.555737 0.832816 0.422718
4 0.979137 0.570273 0.853952 0.408864
4.1 0.979837 0.585157 0.874395 0.39468
4.2 0.980552 0.600334 0.894129 0.380218
4.3 0.98128 0.615752 0.91314 0.365528
4.4 0.982019 0.63136 0.931417 0.350659
4.5 0.982766 0.64711 0.94895 0.335656
4.6 0.983518 0.662954 0.965732 0.320564
4.7 0.984274 0.678849 0.981761 0.305425
4.8 0.985032 0.694752 0.997032 0.29028
4.9 0.985789 0.710623 1.01155 0.275166
5 0.986544 0.726424 1.0253 0.260119
5.1 0.987294 0.742119 1.03831 0.245175
5.2 0.988039 0.757673 1.05057 0.230366
5.3 0.988777 0.773056 1.06209 0.215721
5.4 0.989505 0.788236 1.07287 0.201269
5.5 0.990224 0.803186 1.08294 0.187038
5.6 0.990931 0.817881 1.09229 0.17305
5.7 0.991625 0.832296 1.10094 0.15933
5.8 0.992306 0.846408 1.10891 0.145897
5.9 0.992971 0.860199 1.1162 0.132772
6 0.993621 0.873649 1.12284 0.119972
6.1 0.994255 0.886742 1.12884 0.107513
6.2 0.994871 0.899463 1.13422 0.0954078
6.3 0.995469 0.911799 1.13899 0.0836702
6.4 0.996048 0.923737 1.14317 0.0723108
6.5 0.996609 0.935269 1.14678 0.0613392
6.6 0.997149 0.946386 1.14985 0.0507635
6.7 0.99767 0.95708 1.15239 0.0405902
6.8 0.998171 0.967346 1.15442 0.0308247
6.9 0.998651 0.97718 1.15596 0.021471
7 0.99911 0.986578 1.15703 0.012532
7.1 0.999549 0.99554 1.15766 0.00400917
7.2 0.999967 1.00406 1.15786 -0.00409688
7.3 1.00036 1.01215 1.15766 -0.0117868
7.4 1.00074 1.0198 1.15707 -0.0190621
7.5 1.0011 1.02702 1.15611 -0.0259253
7.6 1.00143 1.03381 1.15482 -0.03238
7.7 1.00174 1.04018 1.1532 -0.0384304
7.8 1.00204 1.04612 1.15128 -0.0440815
7.9 1.00231 1.05165 1.14907 -0.0493394
8 1.00257 1.05678 1.14661 -0.0542104
8.1 1.0028 1.06151 1.1439 -0.0587017
8.2 1.00302 1.06584 1.14096 -0.0628211
8.3 1.00322 1.0698 1.13782 -0.066577
8.4 1.0034 1.07338 1.13449 -0.0699781
8.5 1.00356 1.0766 1.13099 -0.0730337
8.6 1.00371 1.07946 1.12734 -0.0757534
8.7 1.00384 1.08199 1.12355 -0.0781472
8.8 1.00395 1.08418 1.11965 -0.0802255
8.9 1.00405 1.08605 1.11563 -0.0819988
9 1.00413 1.08761 1.11153 -0.0834781
9.1 1.0042 1.08888 1.10736 -0.0846742
9.2 1.00426 1.08985 1.10313 -0.0855984
9.3 1.0043 1.09056 1.09885 -0.0862621
9.4 1.00432 1.091 1.09453 -0.0866764
9.5 1.00434 1.09119 1.0902 -0.0868531
9.6 1.00434 1.09115 1.08586 -0.0868034
9.7 1.00434 1.09088 1.08152 -0.0865388
9.8 1.00432 1.09039 1.07719 -0.0860708
9.9 1.00429 1.0897 1.07289 -0.0854108
10 1.00426 1.08883 1.06862 -0.0845699
