time V1 V2 V3 I
0 0 0 0 0
0.01 0.666556 0.66324 1.65806e-05 0.00331612
0.02 0.888374 0.877356 8.8254e-05 0.0110186
0.03 0.961754 0.941642 0.000243906 0.0201119
0.04 0.985594 0.955998 0.000492448 0.0295964
0.05 0.992907 0.953768 0.000836123 0.0391386
0.06 0.99471 0.946083 0.00127495 0.0486273
0.07 0.994682 0.936656 0.00180822 0.0580256
0.08 0.994049 0.926728 0.00243495 0.0673213
0.09 0.993222 0.916711 0.00315411 0.0765105
0.1 0.992337 0.906745 0.00396462 0.0855922
0.11 0.99144 0.896874 0.00486542 0.0945662
0.12 0.990547 0.887114 0.00585541 0.103433
0.13 0.989661 0.87747 0.00693353 0.112191
0.14 0.988786 0.867943 0.0080987 0.120843
0.15 0.987921 0.858532 0.00934986 0.129389
0.16 0.987066 0.849239 0.0106859 0.137827
0.17 0.986223 0.840063 0.0121059 0.14616
0.18 0.985389 0.831003 0.0136086 0.154387
0.19 0.984567 0.822059 0.0151931 0.162508
0.2 0.983754 0.81323 0.0168582 0.170524
0.21 0.982953 0.804517 0.018603 0.178435
0.22 0.982162 0.795919 0.0204264 0.186242
0.23 0.981381 0.787435 0.0223274 0.193945
0.24 0.980611 0.779066 0.0243048 0.201545
0.25 0.979851 0.77081 0.0263577 0.209041
0.26 0.979101 0.762667 0.0284851 0.216434
0.27 0.978362 0.754637 0.0306859 0.223725
0.28 0.977633 0.746719 0.0329591 0.230913
0.29 0.976914 0.738914 0.0353037 0.238
0.3 0.976205 0.731219 0.0377186 0.244986
0.31 0.975506 0.723636 0.0402029 0.25187
0.32 0.974818 0.716163 0.0427555 0.258655
0.33 0.97414 0.708801 0.0453755 0.265339
0.34 0.973471 0.701548 0.0480618 0.271923
0.35 0.972813 0.694404 0.0508134 0.278409
0.36 0.972164 0.687369 0.0536295 0.284795
0.37 0.971525 0.680442 0.0565089 0.291084
0.38 0.970897 0.673622 0.0594506 0.297274
0.39 0.970277 0.66691 0.0624539 0.303367
0.4 0.969668 0.660305 0.0655175 0.309364
0.41 0.969068 0.653805 0.0686406 0.315263
0.42 0.968478 0.647411 0.0718223 0.321067
0.43 0.967898 0.641123 0.0750615 0.326775
0.44 0.967327 0.634939 0.0783573 0.332389
0.45 0.966766 0.628859 0.0817088 0.337907
0.46 0.966214 0.622882 0.085115 0.343332
0.47 0.965672 0.617009 0.088575 0.348663
0.48 0.965138 0.611238 0.0920878 0.353901
0.49 0.964615 0.605569 0.0956525 0.359046
0.5 0.9641 0.600001 0.0992682 0.364099
0.51 0.963595 0.594534 0.102934 0.369061
0.52 0.963098 0.589167 0.106649 0.373932
0.53 0.962611 0.5839 0.110412 0.378712
0.54 0.962133 0.578732 0.114223 0.383402
