t x y
0 475 0.00654
0.00666667 476 4.60328
0.0133333 477 9.19961
0.02 478 13.7951
0.0266667 479 18.3894
0.0333333 480 22.9821
0.04 481 27.5728
0.0466667 482 32.161
0.0533333 483 36.7464
0.06 484 41.3285
0.0666667 485 45.907
0.0733333 486 50.4814
0.08 487 55.0514
0.0866667 488 59.6164
0.0933333 489 64.1763
0.1 490 68.7304
0.106667 491 73.2784
0.113333 492 77.82
0.12 493 82.3547
0.126667 494 86.882
0.133333 495 91.4017
0.14 496 95.9132
0.146667 497 100.416
0.153333 498 104.91
0.16 499 109.395
0.166667 500 113.87
0.173333 501 118.335
0.18 502 122.789
0.186667 503 127.233
0.193333 504 131.665
0.2 505 136.085
0.206667 506 140.493
0.213333 507 144.888
0.22 508 149.271
0.226667 509 153.64
0.233333 510 157.995
0.24 511 162.337
0.246667 512 166.663
0.253333 513 170.975
0.26 514 175.271
0.266667 515 179.551
0.273333 516 183.815
0.28 517 188.062
0.286667 518 192.293
0.293333 519 196.506
0.3 520 200.701
0.306667 521 204.877
0.313333 522 209.036
0.32 523 213.175
0.326667 524 217.294
0.333333 525 221.394
0.34 526 225.473
0.346667 527 229.532
0.353333 528 233.57
0.36 529 237.586
0.366667 530 241.58
0.373333 531 245.552
0.38 532 249.501
0.386667 533 253.427
0.393333 534 257.33
0.4 535 261.208
0.406667 536 265.063
0.413333 537 268.892
0.42 538 272.696
0.426667 539 276.475
0.433333 540 280.228
0.44 541 283.954
0.446667 542 287.654
0.453333 543 291.327
0.46 544 294.971
0.466667 545 298.588
0.473333 546 302.177
0.48 547 305.736
0.486667 548 309.267
0.493333 549 312.768
0.5 550 316.239
0.506667 551 319.679
0.513333 552 323.088
0.52 553 326.467
0.526667 554 329.813
0.533333 555 333.128
0.54 556 336.41
0.546667 557 339.659
0.553333 558 342.875
0.56 559 346.058
0.566667 560 349.206
0.573333 561 352.32
0.58 562 355.399
0.586667 563 358.442
0.593333 564 361.45
0.6 565 364.422
0.606667 566 367.357
0.613333 567 370.255
0.62 568 373.116
0.626667 569 375.94
0.633333 570 378.725
0.64 571 381.471
0.646667 572 384.179
0.653333 573 386.847
0.66 574 389.476
0.666667 575 392.064
0.673333 576 394.612
0.68 577 397.119
0.686667 578 399.584
0.693333 579 402.008
0.7 580 404.389
0.706667 581 406.728
0.713333 582 409.024
0.72 583 411.276
0.726667 584 413.485
0.733333 585 415.649
0.74 586 417.769
0.746667 587 419.843
0.753333 588 421.873
0.76 589 423.856
0.766667 590 425.793
0.773333 591 427.684
0.78 592 429.527
0.786667 593 431.323
0.793333 594 433.071
0.8 595 434.771
0.806667 596 436.422
0.813333 597 438.024
0.82 598 439.576
0.826667 599 441.079
0.833333 600 442.531
0.84 601 443.933
0.846667 602 445.283
0.853333 603 446.582
0.86 604 447.829
0.866667 605 449.024
0.873333 606 450.166
0.88 607 451.254
0.886667 608 452.289
0.893333 609 453.271
0.9 610 454.198
0.906667 611 455.07
0.913333 612 455.886
0.92 613 456.648
0.926667 614 457.353
0.933333 615 458.002
0.94 616 458.594
0.946667 617 459.129
0.953333 618 459.606
0.96 619 460.026
0.966667 620 460.386
0.973333 621 460.688
0.98 622 460.931
0.986667 623 461.114
0.993333 624 461.237
1 625 461.3
1.00667 626 461.302
1.01333 627 461.243
1.02 628 461.125
1.02667 629 460.946
1.03333 630 460.709
1.04 631 460.413
1.04667 632 460.058
1.05333 633 459.645
1.06 634 459.175
1.06667 635 458.647
1.07333 636 458.063
1.08 637 457.422
1.08667 638 456.725
1.09333 639 455.973
1.1 640 455.165
1.10667 641 454.303
1.11333 642 453.386
1.12 643 452.416
1.12667 644 451.391
1.13333 645 450.314
1.14 646 449.184
1.14667 647 448.001
1.15333 648 446.767
1.16 649 445.481
1.16667 650 444.144
1.17333 651 442.756
1.18 652 441.318
1.18667 653 439.83
1.19333 654 438.293
1.2 655 436.706
1.20667 656 435.071
1.21333 657 433.387
1.22 658 431.656
1.22667 659 429.877
1.23333 660 428.051
1.24 661 426.179
1.24667 662 424.26
1.25333 663 422.295
1.26 664 420.285
1.26667 665 418.23
1.27333 666 416.13
1.28 667 413.986
1.28667 668 411.798
1.29333 669 409.567
1.3 670 407.292
1.30667 671 404.975
1.31333 672 402.616
1.32 673 400.216
1.32667 674 397.773
1.33333 675 395.29
1.34 676 392.766
1.34667 677 390.202
1.35333 678 387.598
1.36 679 384.955
1.36667 680 382.273
1.37333 681 379.553
1.38 682 376.794
1.38667 683 373.997
1.39333 684 371.164
1.4 685 368.293
1.40667 686 365.386
1.41333 687 362.442
1.42 688 359.463
1.42667 689 356.449
1.43333 690 353.4
1.44 691 350.316
1.44667 692 347.198
1.45333 693 344.047
1.46 694 340.862
1.46667 695 337.644
1.47333 696 334.394
1.48 697 331.112
1.48667 698 327.798
1.49333 699 324.453
1.5 700 321.077
1.50667 701 317.671
1.51333 702 314.235
1.52 703 310.769
1.52667 704 307.274
1.53333 705 303.75
1.54 706 300.197
1.54667 707 296.617
1.55333 708 293.009
1.56 709 289.374
1.56667 710 285.712
1.57333 711 282.024
1.58 712 278.309
1.58667 713 274.569
1.59333 714 270.805
1.6 715 267.015
1.60667 716 263.201
1.61333 717 259.363
1.62 718 255.501
1.62667 719 251.617
1.63333 720 247.709
1.64 721 243.779
1.64667 722 239.828
1.65333 723 235.855
1.66 724 231.86
1.66667 725 227.846
1.67333 726 223.81
1.68 727 219.755
1.68667 728 215.681
1.69333 729 211.587
1.7 730 207.475
1.70667 731 203.344
1.71333 732 199.196
1.72 733 195.03
1.72667 734 190.847
1.73333 735 186.648
1.74 736 182.432
1.74667 737 178.2
1.75333 738 173.953
1.76 739 169.691
1.76667 740 165.415
1.77333 741 161.124
1.78 742 156.819
1.78667 743 152.501
1.79333 744 148.17
1.8 745 143.827
1.80667 746 139.471
1.81333 747 135.104
1.82 748 130.725
1.82667 749 126.335
1.83333 750 121.935
