t x y error
0 475 0.00654 0
0.02 476 0.446528 0.440039
0.04 477 0.885454 0.879017
0.06 478 1.32226 1.31587
0.08 479 1.75587 1.74954
0.1 480 2.18524 2.17897
0.12 481 2.6093 2.60308
0.14 482 3.02699 3.02083
0.16 483 3.43725 3.43114
0.18 484 3.83901 3.83296
0.2 485 4.23121 4.22522
0.22 486 4.6128 4.60686
0.24 487 4.9827 4.97683
0.26 488 5.33987 5.33405
0.28 489 5.68323 5.67747
0.3 490 6.01172 6.00602
0.32 491 6.32428 6.31865
0.34 492 6.61986 6.61428
0.36 493 6.89738 6.89186
0.38 494 7.15579 7.15034
0.4 495 7.39402 7.38863
0.42 496 7.61102 7.60569
0.44 497 7.80572 7.80045
0.46 498 7.97705 7.97185
0.48 499 8.12397 8.11883
0.5 500 8.24539 8.24032
0.52 501 8.34028 13.2463
0.54 502 8.40755 12.8255
0.56 503 8.44615 12.4302
0.58 504 8.45502 12.053
0.6 505 8.4331 11.6881
0.62 506 8.37932 11.3283
0.64 507 8.29262 10.9706
0.66 508 8.17195 10.6079
0.68 509 8.01623 10.2372
0.7 510 7.82441 9.85441
0.72 511 7.59542 9.45542
0.74 512 7.3282 9.0372
0.76 513 7.0217 8.5957
0.78 514 6.67485 8.12885
0.8 515 6.28658 7.63258
0.82 516 5.85584 7.10384
0.84 517 5.38156 6.53856
0.86 518 4.86268 5.93068
0.88 519 4.29815 5.27425
0.9 520 3.68689 4.56189
0.92 521 3.02785 3.78655
0.94 522 2.31996 2.94336
0.96 523 1.56216 2.03336
0.98 524 0.753397 1.0534
1 525 -0.1074 0
1.02 526 -1.01967 1.12257
1.04 527 -1.9764 2.304
1.06 528 -2.96893 3.53263
1.08 529 -3.98862 4.79762
1.1 530 -5.02684 6.08884
1.12 531 -6.07493 7.39593
1.14 532 -7.12426 8.71026
1.16 533 -8.16618 10.0212
1.18 534 -9.19205 11.3201
1.2 535 -10.1932 12.5972
1.22 536 -11.1611 13.8451
1.24 537 -12.0869 15.0519
1.26 538 -12.9622 16.2122
1.28 539 -13.7781 17.3141
1.3 540 -14.5262 18.3512
1.32 541 -15.1977 19.3137
1.34 542 -15.784 20.193
1.36 543 -16.2765 20.9805
1.38 544 -16.6665 21.6685
1.4 545 -16.9454 22.2484
1.42 546 -17.1045 22.7875
1.44 547 -17.1352 23.1322
1.46 548 -17.0289 23.3519
1.48 549 -16.7768 23.4368
1.5 550 -16.3704 23.3704
1.52 551 -15.8011 23.1651
1.54 552 -15.0601 22.8031
1.56 553 -14.1388 22.2768
1.58 554 -13.0286 21.5826
1.6 555 -11.7209 20.7109
1.62 556 -10.207 19.659
1.64 557 -8.47823 18.4212
1.66 558 -6.52599 16.996
1.68 559 -4.34162 15.3716
1.7 560 -1.91649 13.5565
1.72 561 0.758062 11.5419
1.74 562 3.69066 9.33934
1.76 563 6.88996 6.95004
1.78 564 10.3646 4.3954
1.8 565 14.1232 1.70677
1.82 566 18.1745 1.04447
1.84 567 22.527 3.74699
1.86 568 27.1894 6.07942
1.88 569 32.1704 7.08041
1.9 570 37.4786 9.9286
1.92 571 43.1226 14.3026
1.94 572 49.1111 18.9011
1.96 573 55.4528 23.5528
1.98 574 62.1562 12.6662
2 575 69.23 0
2.02 576 76.6779 0.337879
2.04 577 84.4835 3.02346
2.06 578 92.6254 5.34539
2.08 579 101.082 6.77233
2.1 580 109.833 7.4329
2.12 581 118.856 7.65577
