t x y error
0 475 0.00654 0
0.0155322 476 -0.0273887 0.0338777
0.0310677 477 -0.0612517 0.0676887
0.0466097 478 -0.0949831 0.101367
0.0621616 479 -0.128517 0.134847
0.0777267 480 -0.161786 0.168062
0.0933083 481 -0.194724 0.200945
0.10891 482 -0.227263 0.233428
0.124535 483 -0.259334 0.265442
0.140186 484 -0.290867 0.296918
0.155868 485 -0.321791 0.327785
0.171584 486 -0.352035 0.35797
0.187338 487 -0.381524 0.387401
0.203133 488 -0.410183 0.416
0.218974 489 -0.437934 0.443692
0.234863 490 -0.464698 0.470396
0.250806 491 -0.490393 0.49603
0.266806 492 -0.514935 0.520511
0.282869 493 -0.538235 0.54375
0.298998 494 -0.560204 0.565657
0.315197 495 -0.580748 0.586139
0.331473 496 -0.599767 0.605096
0.34783 497 -0.617162 0.622428
0.364274 498 -0.632824 0.638027
0.380809 499 -0.646642 0.651782
0.397442 500 -0.6585 0.663577
0.414179 501 -0.668273 4.23773
0.431027 502 -0.675832 3.74217
0.447991 503 -0.68104 3.30296
0.465081 504 -0.683752 2.91425
0.482302 505 -0.683812 2.57119
0.499664 506 -0.681057 2.26794
0.517176 507 -0.675312 2.00269
0.534845 508 -0.666389 1.76961
0.552684 509 -0.654087 1.56691
0.570701 510 -0.638189 1.39181
0.58891 511 -0.618463 1.24154
0.607322 512 -0.594655 1.11434
0.625951 513 -0.566492 1.00751
0.644813 514 -0.533674 0.920326
0.663923 515 -0.495873 0.850127
0.683299 516 -0.452732 0.795268
0.702962 517 -0.403854 0.753146
0.722933 518 -0.3488 0.7192
0.743236 519 -0.287081 0.689019
0.763899 520 -0.218152 0.656848
0.784952 521 -0.141397 0.617303
0.80643 522 -0.0561194 0.567281
0.828373 523 0.0384745 0.509674
0.850827 524 0.143298 0.443298
0.873843 525 0.259408 0.366808
0.897484 526 0.388042 0.285142
0.921823 527 0.530665 0.203065
0.946947 528 0.68903 0.12533
0.972962 529 0.865264 0.0562644
1 530 1.062 0
1.02821 531 1.28211 0.0388889
1.05773 532 1.5273 0.0586953
1.08868 533 1.79896 0.0560353
1.12124 534 2.09848 0.0295182
1.15557 535 2.42719 0.0231911
1.19189 536 2.78627 0.102269
1.23045 537 3.17656 0.211562
1.2715 538 3.59832 0.348319
1.31537 539 4.05075 0.514753
1.3624 540 4.53137 0.706369
1.41295 541 5.03494 0.918943
1.46734 542 5.55204 1.14304
1.52582 543 6.06712 1.36312
1.58842 544 6.55646 1.55446
1.6548 545 6.98716 1.68416
1.72412 546 7.31884 1.63584
1.79497 547 7.51 1.513
1.86563 548 7.5279 1.2049
1.9344 549 7.35686 0.696861
2 550 7 0
2.06191 551 6.48711 0.876886
2.12074 552 5.89476 1.84824
2.17712 553 5.29066 2.84734
2.2315 554 4.72698 3.82702
2.28425 555 4.24597 4.74403
2.33564 556 3.8835 5.5685
2.38591 557 3.67119 6.27181
2.43524 558 3.63799 6.83201
2.4838 559 3.81122 7.21878
2.53172 560 4.2174 7.4226
2.57914 561 4.88294 7.41706
2.62617 562 5.8347 7.1953
2.6729 563 7.10048 6.73952
2.71945 564 8.7096 6.0504
2.7659 565 10.6934 5.13663
2.81235 566 13.0857 4.04431
2.85888 567 15.9237 2.85626
2.9056 568 19.2487 1.86131
2.95261 569 23.1067 1.9833
3 570 27.55 0
3.04787 571 32.6241 3.80407
3.09621 572 38.3217 8.11171
3.14499 573 44.6188 12.7188
3.19418 574 51.4875 1.99751
3.24374 575 58.8963 10.3337
3.29363 576 66.8099 9.5301
3.34382 577 75.1897 6.27029
3.39424 578 83.9937 3.28626
3.44487 579 93.177 1.13296
3.49563 580 102.692 0.292049
3.5465 581 112.489 1.28898
3.5974 582 122.516 1.81634
3.6483 583 132.721 1.9214
3.69913 584 143.051 1.85077
3.74985 585 153.451 1.25096
3.8004 586 163.869 0.468885
3.85074 587 174.252 0.747571
3.90081 588 184.551 2.34907
3.95058 589 194.716 3.58439
4 590 204.7 0
4.04905 591 214.47 2.47014
4.09779 592 224.033 4.33296
4.14629 593 233.404 5.80395
4.19461 594 242.597 7.09718
4.24282 595 251.625 8.22547
4.29098 596 260.501 9.20062
4.33915 597 269.234 10.0336
4.38741 598 277.834 10.9345
4.4358 599 286.313 12.013
4.4844 600 294.678 13.0783
4.53328 601 302.939 1.53919
4.58251 602 311.104 1.80409
4.63216 603 319.181 2.28143
4.68232 604 327.18 2.87952
4.73308 605 335.107 3.50676
4.78454 606 342.972 4.27179
4.83682 607 350.784 4.88361
4.89005 608 358.552 4.75178
4.94438 609 366.287 0.113276
5 610 374 0
5.05708 611 381.697 1.49721
5.11568 612 389.353 3.25335
5.17582 613 396.931 5.43135
5.23751 614 404.389 7.78868
5.30074 615 411.677 10.2771
5.36549 616 418.742 9.64242
5.4317 617 425.525 10.225
5.49931 618 431.96 9.25973
5.56822 619 437.977 0.622649
5.6383 620 443.505 1.90542
5.7094 621 448.47 2.27019
5.78133 622 452.799 2.19868
5.8539 623 456.421 1.92112
5.92687 624 459.274 1.17351
6 625 461.3 0
6.07306 626 462.452 1.75161
6.14584 627 462.677 6.07708
6.21813 628 461.934 8.63358
6.28975 629 460.191 9.69068
6.36053 630 457.43 9.53044
6.43031 631 453.647 8.54696
6.49899 632 448.845 6.94538
6.56644 633 443.041 5.04054
6.63259 634 436.256 3.15552
6.69737 635 428.52 1.61997
6.76076 636 419.869 0.768612
6.82272 637 410.34 0.239768
6.88324 638 399.974 0.074079
6.94233 639 388.813 0.0134202
